d,p_los,p_ref_perp,p_tot_perp,p_ref_par,p_tot_par
1.071556333356801671e+00,-5.870886410238760078e+01,-6.607577757503641180e+01,-6.124786526034809242e+01,-6.611620502322382720e+01,-5.614430628899799558e+01
1.077745599127678089e+00,-5.870965114077485936e+01,-6.607597848754230085e+01,-6.120285732235910814e+01,-6.611687240760520012e+01,-5.615926829607067816e+01
1.083970613845754327e+00,-5.871044715213189136e+01,-6.607618171822673503e+01,-6.115732785779009362e+01,-6.611754747058326132e+01,-5.617460272998570758e+01
1.090231583995494136e+00,-5.871125223708617824e+01,-6.607638729372663988e+01,-6.111128114690772861e+01,-6.611823029988647704e+01,-5.619031879468568036e+01
1.096528717254007690e+00,-5.871206649735535166e+01,-6.607659524098239956e+01,-6.106472177284872771e+01,-6.611892098423142272e+01,-5.620642592760106737e+01
1.102862222497939415e+00,-5.871289003575812160e+01,-6.607680558724132425e+01,-6.101765462222743253e+01,-6.611961961333348370e+01,-5.622293380590165413e+01
1.109232309810396444e+00,-5.871372295622528981e+01,-6.607701836006101814e+01,-6.097008488551882266e+01,-6.612032627791788286e+01,-5.623985235292227713e+01
1.115639190487918375e+00,-5.871456536381089109e+01,-6.607723358731286112e+01,-6.092201805721320795e+01,-6.612104106973052353e+01,-5.625719174477069373e+01
1.122083077047483890e+00,-5.871541736470334172e+01,-6.607745129718553301e+01,-6.087345993575457470e+01,-6.612176408154935814e+01,-5.627496241712033509e+01
1.128564183233562002e+00,-5.871627906623678683e+01,-6.607767151818860896e+01,-6.082441662326914411e+01,-6.612249540719541585e+01,-5.629317507219297312e+01
1.135082724025200385e+00,-5.871715057690241935e+01,-6.607789427915602687e+01,-6.077489452509441037e+01,-6.612323514154428494e+01,-5.631184068593489656e+01
1.141638915643157226e+00,-5.871803200636001918e+01,-6.607811960924979644e+01,-6.072490034910974543e+01,-6.612398338053759517e+01,-5.633097051539415645e+01
1.148232975557073043e+00,-5.871892346544943564e+01,-6.607834753796365135e+01,-6.067444110488820996e+01,-6.612474022119452854e+01,-5.635057610629955605e+01
1.154865122492684248e+00,-5.871982506620231845e+01,-6.607857809512672986e+01,-6.062352410267243386e+01,-6.612550576162361438e+01,-5.637066930084849048e+01
