path_index,delay_ns,amplitude,power_linear,power_db
0.000000000000000000e+00,2.220863800048828125e+02,5.571892529587785248e-07,3.104598555233456514e-13,-1.250799454895548308e+02
1.000000000000000000e+00,2.402169342041015625e+02,2.323032433082516945e-08,5.396479729483853564e-16,-1.526788944991806716e+02
2.000000000000000000e+00,3.227742614746093750e+02,1.098770763263701156e-08,1.207297235545235631e-16,-1.591818579380889105e+02
3.000000000000000000e+00,2.472988891601562500e+02,2.492917872132238699e-08,6.214639441148622941e-16,-1.520658406304195296e+02
4.000000000000000000e+00,2.472988891601562500e+02,1.482597600244162095e-09,2.198095579468293520e-18,-1.765795342713856542e+02
5.000000000000000000e+00,4.657089843750000000e+02,2.551134858919112958e-09,6.508288906020805037e-18,-1.718653317676994448e+02
6.000000000000000000e+00,2.800973205566406250e+02,4.441297818402745179e-08,1.972512729325401337e-15,-1.470498018545291643e+02
7.000000000000000000e+00,2.233861389160156250e+02,1.369591302591288695e-07,1.875780380902834082e-14,-1.372681801081056960e+02
