nu,L
-0.9349,-0.7641
-0.9274,-0.7335
-0.9199,-0.7023
-0.9124,-0.6704
-0.9049,-0.6379
-0.8974,-0.6047
-0.8899,-0.5710
-0.8824,-0.5366
-0.8748,-0.5016
-0.8673,-0.4661
-0.8598,-0.4299
-0.8523,-0.3932
-0.8448,-0.3559
-0.8373,-0.3180
-0.8298,-0.2796
-0.8223,-0.2406
-0.8148,-0.2010
-0.8073,-0.1610
-0.7997,-0.1204
-0.7922,-0.0793
-0.7847,-0.0376
-0.7772,0.0045
-0.7697,0.0472
-0.7622,0.0903
-0.7547,0.1339
-0.7472,0.1781
-0.7397,0.2226
-0.7322,0.2677
-0.7247,0.3132
-0.7171,0.3592
-0.7096,0.4056
-0.7021,0.4525
-0.6946,0.4998
-0.6871,0.5476
-0.6796,0.5957
-0.6721,0.6443
-0.6646,0.6933
-0.6571,0.7427
-0.6496,0.7925
-0.6421,0.8427
-0.6345,0.8933
-0.6270,0.9443
-0.6195,0.9956
-0.6120,1.0473
-0.6045,1.0994
-0.5970,1.1518
-0.5895,1.2046
-0.5820,1.2577
-0.5745,1.3112
-0.5670,1.3650
-0.5594,1.4191
-0.5519,1.4736
-0.5444,1.5283
-0.5369,1.5834
-0.5294,1.6388
-0.5219,1.6945
-0.5144,1.7505
-0.5069,1.8068
-0.4994,1.8633
-0.4919,1.9202
-0.4844,1.9773
-0.4768,2.0347
-0.4693,2.0924
-0.4618,2.1503
-0.4543,2.2084
-0.4468,2.2668
-0.4393,2.3255
-0.4318,2.3844
-0.4243,2.4435
-0.4168,2.5029
-0.4093,2.5625
-0.4018,2.6223
-0.3942,2.6823
-0.3867,2.7425
-0.3792,2.8029
-0.3717,2.8636
-0.3642,2.9244
-0.3567,2.9854
-0.3492,3.0466
-0.3417,3.1080
-0.3342,3.1695
-0.3267,3.2313
-0.3191,3.2931
-0.3116,3.3552
-0.3041,3.4174
-0.2966,3.4798
-0.2891,3.5423
-0.2816,3.6050
-0.2741,3.6678
-0.2666,3.7307
-0.2591,3.7938
-0.2516,3.8570
-0.2441,3.9203
-0.2365,3.9837
-0.2290,4.0473
-0.2215,4.1109
-0.2140,4.1747
-0.2065,4.2386
-0.1990,4.3026
-0.1915,4.3666
-0.1840,4.4308
-0.1765,4.4950
-0.1690,4.5593
-0.1615,4.6238
-0.1539,4.6882
-0.1464,4.7528
-0.1389,4.8174
-0.1314,4.8821
-0.1239,4.9468
-0.1164,5.0116
-0.1089,5.0765
-0.1014,5.1414
-0.0939,5.2063
-0.0864,5.2713
-0.0788,5.3364
-0.0713,5.4014
-0.0638,5.4665
-0.0563,5.5316
-0.0488,5.5968
-0.0413,5.6619
-0.0338,5.7271
-0.0263,5.7923
-0.0188,5.8575
-0.0113,5.9228
-0.0038,5.9880
0.0038,6.0532
0.0113,6.1184
0.0188,6.1837
0.0263,6.2489
0.0338,6.3141
0.0413,6.3793
0.0488,6.4444
0.0563,6.5096
0.0638,6.5747
0.0713,6.6398
0.0788,6.7049
0.0864,6.7699
0.0939,6.8349
0.1014,6.8999
0.1089,6.9648
0.1164,7.0297
0.1239,7.0946
0.1314,7.1594
0.1389,7.2241
0.1464,7.2888
0.1539,7.3534
0.1615,7.4180
0.1690,7.4825
0.1765,7.5470
0.1840,7.6114
0.1915,7.6757
0.1990,7.7399
0.2065,7.8041
0.2140,7.8682
0.2215,7.9322
0.2290,7.9962
0.2365,8.0600
0.2441,8.1238
0.2516,8.1875
0.2591,8.2511
0.2666,8.3146
0.2741,8.3781
0.2816,8.4414
0.2891,8.5046
0.2966,8.5678
0.3041,8.6308
0.3116,8.6937
0.3191,8.7566
0.3267,8.8193
0.3342,8.8819
0.3417,8.9444
0.3492,9.0068
0.3567,9.0691
0.3642,9.1312
0.3717,9.1933
0.3792,9.2552
0.3867,9.3170
0.3942,9.3787
0.4018,9.4403
0.4093,9.5017
0.4168,9.5630
0.4243,9.6242
0.4318,9.6853
0.4393,9.7462
0.4468,9.8070
0.4543,9.8677
0.4618,9.9282
0.4693,9.9886
0.4768,10.0489
0.4844,10.1090
0.4919,10.1690
0.4994,10.2288
0.5069,10.2886
0.5144,10.3481
0.5219,10.4075
0.5294,10.4668
0.5369,10.5259
0.5444,10.5849
0.5519,10.6437
0.5594,10.7024
0.5670,10.7610
0.5745,10.8193
0.5820,10.8776
0.5895,10.9357
0.5970,10.9936
0.6045,11.0514
0.6120,11.1090
0.6195,11.1664
0.6270,11.2237
0.6345,11.2809
0.6421,11.3379
0.6496,11.3947
0.6571,11.4514
0.6646,11.5079
0.6721,11.5643
0.6796,11.6205
0.6871,11.6765
0.6946,11.7324
0.7021,11.7881
0.7096,11.8436
0.7171,11.8990
0.7247,11.9543
0.7322,12.0093
0.7397,12.0642
0.7472,12.1189
0.7547,12.1735
0.7622,12.2279
0.7697,12.2821
0.7772,12.3362
0.7847,12.3901
0.7922,12.4438
0.7997,12.4974
0.8073,12.5508
0.8148,12.6040
0.8223,12.6571
0.8298,12.7100
0.8373,12.7627
0.8448,12.8153
0.8523,12.8677
0.8598,12.9199
0.8673,12.9720
0.8748,13.0239
0.8824,13.0756
0.8899,13.1272
0.8974,13.1786
0.9049,13.2298
0.9124,13.2808
0.9199,13.3317
0.9274,13.3825
0.9349,13.4330
0.9424,13.4834
0.9499,13.5336
0.9574,13.5837
0.9650,13.6335
0.9725,13.6832
0.9800,13.7328
0.9875,13.7822
0.9950,13.8314
1.0025,13.8804
1.0100,13.9293
1.0175,13.9780
1.0250,14.0266
1.0325,14.0750
1.0401,14.1232
1.0476,14.1712
1.0551,14.2191
1.0626,14.2669
1.0701,14.3144
1.0776,14.3618
1.0851,14.4090
1.0926,14.4561
1.1001,14.5030
1.1076,14.5498
1.1151,14.5964
1.1227,14.6428
1.1302,14.6890
1.1377,14.7351
1.1452,14.7811
1.1527,14.8268
1.1602,14.8725
1.1677,14.9179
1.1752,14.9632
1.1827,15.0084
1.1902,15.0533
1.1977,15.0982
1.2053,15.1428
1.2128,15.1874
1.2203,15.2317
1.2278,15.2759
1.2353,15.3200
1.2428,15.3638
1.2503,15.4076
1.2578,15.4512
1.2653,15.4946
1.2728,15.5379
1.2804,15.5810
1.2879,15.6239
1.2954,15.6668
1.3029,15.7094
1.3104,15.7520
1.3179,15.7943
1.3254,15.8365
1.3329,15.8786
1.3404,15.9205
1.3479,15.9623
1.3554,16.0039
1.3630,16.0454
1.3705,16.0867
1.3780,16.1279
1.3855,16.1690
1.3930,16.2099
1.4005,16.2506
1.4080,16.2912
1.4155,16.3317
1.4230,16.3720
1.4305,16.4122
1.4380,16.4523
1.4456,16.4922
1.4531,16.5319
1.4606,16.5716
1.4681,16.6111
1.4756,16.6504
1.4831,16.6896
1.4906,16.7287
1.4981,16.7676
1.5056,16.8064
1.5131,16.8451
1.5207,16.8836
1.5282,16.9220
1.5357,16.9603
1.5432,16.9984
1.5507,17.0364
1.5582,17.0743
1.5657,17.1120
1.5732,17.1496
1.5807,17.1871
1.5882,17.2245
1.5957,17.2617
1.6033,17.2988
1.6108,17.3357
1.6183,17.3726
1.6258,17.4093
1.6333,17.4459
1.6408,17.4823
1.6483,17.5186
1.6558,17.5549
1.6633,17.5909
1.6708,17.6269
1.6783,17.6627
1.6859,17.6985
1.6934,17.7341
1.7009,17.7695
1.7084,17.8049
1.7159,17.8401
1.7234,17.8752
1.7309,17.9102
1.7384,17.9451
1.7459,17.9799
1.7534,18.0145
1.7610,18.0491
1.7685,18.0835
1.7760,18.1178
1.7835,18.1520
1.7910,18.1861
1.7985,18.2200
1.8060,18.2539
1.8135,18.2876
1.8210,18.3212
1.8285,18.3547
1.8360,18.3881
1.8436,18.4214
1.8511,18.4546
1.8586,18.4877
1.8661,18.5207
1.8736,18.5535
1.8811,18.5863
1.8886,18.6189
1.8961,18.6515
1.9036,18.6839
1.9111,18.7162
1.9186,18.7484
1.9262,18.7806
1.9337,18.8126
1.9412,18.8445
1.9487,18.8763
1.9562,18.9080
1.9637,18.9396
1.9712,18.9711
1.9787,19.0025
1.9862,19.0338
1.9937,19.0650
2.0013,19.0961
2.0088,19.1271
2.0163,19.1581
2.0238,19.1889
2.0313,19.2196
2.0388,19.2502
2.0463,19.2807
2.0538,19.3112
2.0613,19.3415
2.0688,19.3717
2.0763,19.4019
2.0839,19.4319
2.0914,19.4619
2.0989,19.4918
2.1064,19.5215
2.1139,19.5512
2.1214,19.5808
2.1289,19.6103
2.1364,19.6397
2.1439,19.6690
2.1514,19.6983
2.1589,19.7274
2.1665,19.7564
2.1740,19.7854
2.1815,19.8143
2.1890,19.8431
2.1965,19.8718
2.2040,19.9004
2.2115,19.9289
2.2190,19.9574
2.2265,19.9857
2.2340,20.0140
2.2416,20.0422
2.2491,20.0703
2.2566,20.0983
2.2641,20.1263
2.2716,20.1541
2.2791,20.1819
2.2866,20.2096
2.2941,20.2372
2.3016,20.2648
2.3091,20.2922
2.3166,20.3196
2.3242,20.3469
2.3317,20.3741
2.3392,20.4012
2.3467,20.4283
2.3542,20.4553
2.3617,20.4822
2.3692,20.5090
2.3767,20.5358
2.3842,20.5624
2.3917,20.5890
2.3992,20.6155
2.4068,20.6420
2.4143,20.6684
2.4218,20.6947
2.4293,20.7209
2.4368,20.7470
2.4443,20.7731
2.4518,20.7991
2.4593,20.8250
2.4668,20.8509
2.4743,20.8767
2.4819,20.9024
2.4894,20.9280
2.4969,20.9536
2.5044,20.9791
2.5119,21.0045
2.5194,21.0299
2.5269,21.0552
2.5344,21.0804
2.5419,21.1056
2.5494,21.1306
2.5569,21.1557
2.5645,21.1806
2.5720,21.2055
2.5795,21.2303
2.5870,21.2550
2.5945,21.2797
2.6020,21.3043
2.6095,21.3289
2.6170,21.3534
2.6245,21.3778
2.6320,21.4021
2.6395,21.4264
2.6471,21.4506
2.6546,21.4748
2.6621,21.4989
2.6696,21.5229
2.6771,21.5469
2.6846,21.5708
2.6921,21.5946
2.6996,21.6184
2.7071,21.6421
2.7146,21.6658
2.7222,21.6894
2.7297,21.7129
2.7372,21.7364
2.7447,21.7598
2.7522,21.7832
2.7597,21.8065
2.7672,21.8297
2.7747,21.8529
2.7822,21.8760
2.7897,21.8990
2.7972,21.9220
2.8048,21.9450
2.8123,21.9679
2.8198,21.9907
2.8273,22.0134
2.8348,22.0361
2.8423,22.0588
2.8498,22.0814
2.8573,22.1039
2.8648,22.1264
2.8723,22.1488
2.8798,22.1712
2.8874,22.1935
2.8949,22.2158
2.9024,22.2380
2.9099,22.2602
2.9174,22.2823
2.9249,22.3043
2.9324,22.3263
2.9399,22.3482
2.9474,22.3701
2.9549,22.3919
2.9625,22.4137
2.9700,22.4354
2.9775,22.4571
2.9850,22.4787
2.9925,22.5003
3.0000,22.5218
