step,estimated_conductivity_s_per_m,loss_nae
4.100000000000000000e+01,2.806133329868316650e-01,1.150070503354072571e-02
4.200000000000000000e+01,2.929117679595947266e-01,1.122556906193494797e-02
4.300000000000000000e+01,3.058740496635437012e-01,1.092385221272706985e-02
4.400000000000000000e+01,3.195387721061706543e-01,1.059293374419212341e-02
4.500000000000000000e+01,3.339467048645019531e-01,1.022980920970439911e-02
4.600000000000000000e+01,3.491410613059997559e-01,9.831165894865989685e-03
4.700000000000000000e+01,3.651669323444366455e-01,9.393537417054176331e-03
4.800000000000000000e+01,3.820724785327911377e-01,8.912915363907814026e-03
4.900000000000000000e+01,3.999078571796417236e-01,8.384986780583858490e-03
5.000000000000000000e+01,4.187262058258056641e-01,7.805128581821918488e-03
5.100000000000000000e+01,4.385831952095031738e-01,7.168409414589405060e-03
5.200000000000000000e+01,4.595373868942260742e-01,6.469127722084522247e-03
5.300000000000000000e+01,4.816504120826721191e-01,5.701581947505474091e-03
5.400000000000000000e+01,5.049864053726196289e-01,4.859453998506069183e-03
5.500000000000000000e+01,5.296131372451782227e-01,3.936041612178087234e-03
5.600000000000000000e+01,5.556012988090515137e-01,2.924178494140505791e-03
5.700000000000000000e+01,5.830245614051818848e-01,1.816468546167016029e-03
5.800000000000000000e+01,6.119598150253295898e-01,6.051299860700964928e-04
5.900000000000000000e+01,6.424868702888488770e-01,7.179272943176329136e-04
6.000000000000000000e+01,6.635291576385498047e-01,1.655516680330038071e-03
6.100000000000000000e+01,6.761322021484375000e-01,2.226668642833828926e-03
6.200000000000000000e+01,6.815412640571594238e-01,2.473913598805665970e-03
6.300000000000000000e+01,6.809968948364257812e-01,2.449027495458722115e-03
6.400000000000000000e+01,6.756397485733032227e-01,2.204247983172535896e-03
6.500000000000000000e+01,6.664735078811645508e-01,1.788346329703927040e-03
6.600000000000000000e+01,6.543608903884887695e-01,1.244546030648052692e-03
6.700000000000000000e+01,6.400321722030639648e-01,6.099069141782820225e-04
6.800000000000000000e+01,6.240984201431274414e-01,8.436686039203777909e-05
6.900000000000000000e+01,6.136778593063354492e-01,5.318579496815800667e-04
7.000000000000000000e+01,6.077411174774169922e-01,7.843421190045773983e-04
