step,power_db,theta_deg,phi_deg
4.600000000000000000e+01,-9.532963306654401947e+01,9.012981414794921875e+01,-5.867751687765121460e-02
4.700000000000000000e+01,-9.532889207100610918e+01,9.013391876220703125e+01,-6.053423509001731873e-02
4.800000000000000000e+01,-9.532814462424744306e+01,9.013806915283203125e+01,-6.241075694561004639e-02
4.900000000000000000e+01,-9.532738949653007410e+01,9.014226531982421875e+01,-6.430690735578536987e-02
5.000000000000000000e+01,-9.532662586996680432e+01,9.014650726318359375e+01,-6.622251868247985840e-02
5.100000000000000000e+01,-9.532585457083258973e+01,9.015078735351562500e+01,-6.815743446350097656e-02
5.200000000000000000e+01,-9.532507683567182255e+01,9.015511322021484375e+01,-7.011148333549499512e-02
5.300000000000000000e+01,-9.532429143575544117e+01,9.015947723388671875e+01,-7.208450883626937866e-02
5.400000000000000000e+01,-9.532349755394270119e+01,9.016387939453125000e+01,-7.407636940479278564e-02
5.500000000000000000e+01,-9.532269765842656284e+01,9.016832733154296875e+01,-7.608692348003387451e-02
5.600000000000000000e+01,-9.532189011051647753e+01,9.017281341552734375e+01,-7.811601459980010986e-02
5.700000000000000000e+01,-9.532107450407519877e+01,9.017734527587890625e+01,-8.016350865364074707e-02
5.800000000000000000e+01,-9.532025207473523665e+01,9.018191528320312500e+01,-8.222927898168563843e-02
5.900000000000000000e+01,-9.531942241612453870e+01,9.018652343750000000e+01,-8.431318402290344238e-02
6.000000000000000000e+01,-9.531858676300826971e+01,9.019117736816406250e+01,-8.641510456800460815e-02
6.100000000000000000e+01,-9.531774306828606314e+01,9.019586944580078125e+01,-8.853490650653839111e-02
6.200000000000000000e+01,-9.531689297682575557e+01,9.020059204101562500e+01,-9.067248553037643433e-02
6.300000000000000000e+01,-9.531603731232900145e+01,9.020536041259765625e+01,-9.282770752906799316e-02
6.400000000000000000e+01,-9.531517238924250535e+01,9.021016693115234375e+01,-9.500046819448471069e-02
6.500000000000000000e+01,-9.531430190126775415e+01,9.021501159667968750e+01,-9.719064831733703613e-02
6.600000000000000000e+01,-9.531342503236393782e+01,9.021989440917968750e+01,-9.939814358949661255e-02
6.700000000000000000e+01,-9.531254055754941135e+01,9.022482299804687500e+01,-1.016228422522544861e-01
6.800000000000000000e+01,-9.531165011967831902e+01,9.022978210449218750e+01,-1.038646474480628967e-01
6.900000000000000000e+01,-9.531075249407940930e+01,9.023477935791015625e+01,-1.061234548687934875e-01
7.000000000000000000e+01,-9.530984891336592568e+01,9.023981475830078125e+01,-1.083991676568984985e-01
7.100000000000000000e+01,-9.530893856271788422e+01,9.024488830566406250e+01,-1.106916815042495728e-01
7.200000000000000000e+01,-9.530802185563223361e+01,9.024999237060546875e+01,-1.130009144544601440e-01
7.300000000000000000e+01,-9.530709961440189204e+01,9.025514221191406250e+01,-1.153267621994018555e-01
7.400000000000000000e+01,-9.530617061551276947e+01,9.026032257080078125e+01,-1.176691427826881409e-01
7.500000000000000000e+01,-9.530523486334259076e+01,9.026554107666015625e+01,-1.200279742479324341e-01
7.600000000000000000e+01,-9.530429399769808185e+01,9.027079772949218750e+01,-1.224031597375869751e-01
7.700000000000000000e+01,-9.530334638690243310e+01,9.027608489990234375e+01,-1.247946172952651978e-01
7.800000000000000000e+01,-9.530239162674364195e+01,9.028141784667968750e+01,-1.272022724151611328e-01
7.900000000000000000e+01,-9.530143094772282097e+01,9.028677368164062500e+01,-1.296260505914688110e-01
8.000000000000000000e+01,-9.530046476230307917e+01,9.029217529296875000e+01,-1.320658475160598755e-01
8.100000000000000000e+01,-9.529949307420606885e+01,9.029760742187500000e+01,-1.345216184854507446e-01
8.200000000000000000e+01,-9.529851425394755893e+01,9.030307769775390625e+01,-1.369932889938354492e-01
8.300000000000000000e+01,-9.529752993925237092e+01,9.030858612060546875e+01,-1.394807547330856323e-01
8.400000000000000000e+01,-9.529654013390567968e+01,9.031412506103515625e+01,-1.419839709997177124e-01
8.500000000000000000e+01,-9.529554320960355085e+01,9.031969451904296875e+01,-1.445028483867645264e-01
8.600000000000000000e+01,-9.529454121096296149e+01,9.032530212402343750e+01,-1.470373421907424927e-01
8.700000000000000000e+01,-9.529353454938659240e+01,9.033094787597656250e+01,-1.495873630046844482e-01
8.800000000000000000e+01,-9.529252037396742026e+01,9.033662414550781250e+01,-1.521528661251068115e-01
8.900000000000000000e+01,-9.529150072825912332e+01,9.034233093261718750e+01,-1.547337621450424194e-01
9.000000000000000000e+01,-9.529047520861837484e+01,9.034807586669921875e+01,-1.573300212621688843e-01
9.100000000000000000e+01,-9.528944504162512885e+01,9.035385894775390625e+01,-1.599415689706802368e-01
