distance,path_loss,shadowing,fast_fading,total
0.0,-0.0,-11.42053247277451,-1.2028095675035329,-12.623342040278043
5.002501250625313,-0.05462560193621416,-11.417824969246048,-18.603636713509523,-30.076087284691788
10.005002501250626,-0.10900691465015823,-11.411852251947838,-4.018647797818957,-15.539506964416955
15.007503751875939,-0.16314611337205165,-11.404125118206043,-6.972728729774986,-18.539999961353082
20.010005002501252,-0.2170453444074139,-11.393579623972325,5.367213678956026,-6.243411289423713
25.012506253126567,-0.27070672564762993,-11.379797704192214,-6.016142432143167,-17.66664686198301
30.015007503751878,-0.32413234706929916,-11.363465440159047,6.64139253116209,-5.046205256066255
35.01750875437719,-0.3773242712226636,-11.344105296737204,-1.7289987509923144,-13.450428318952182
40.020010005002504,-0.4302845337093997,-11.322338444826629,-3.7197448396728525,-15.47236781820888
45.02251125562782,-0.4830151436500479,-11.298269841144004,-0.9274231764343466,-12.7087081612284
50.025012506253134,-0.5355180841413649,-11.271513375667768,2.12420370953868,-9.682827750270453
55.02751375687844,-0.5877953127038184,-11.242052324690006,2.0779128835589145,-9.75193475383491
60.030015007503756,-0.6398487617195303,-11.209748081288966,-0.06376969495702589,-11.913366537965523
65.03251625812906,-0.6916803388608734,-11.174159700135506,-2.3484931352250196,-14.2143331742214
70.03501750875438,-0.743291927509975,-11.135912768777075,-3.5846524630154923,-15.463857159302544
75.0375187593797,-0.794685387169356,-11.095305745836665,-6.28345538097056,-18.17344651397658
80.04002001000501,-0.8458625538639284,-11.052022423487138,-7.211893948907171,-19.109778926258237
85.04252126063032,-0.8968252405345696,-11.005602445370968,4.53223540486027,-7.370192281045268
90.04502251125564,-0.9475752374234832,-10.956439023874085,-3.7278477804213135,-15.631862041718882
95.04752376188095,-0.9981143124515525,-10.904502114264965,-0.11487334570406027,-12.017489772420577
100.05002501250627,-1.0484442115878838,-10.850034163654357,4.732252556303817,-7.166225818938423
105.05252626313157,-1.098566659211735,-10.792865182977156,1.2300655980884825,-10.661366244100407
110.05502751375688,-1.1484833584670153,-10.733585099377844,5.2269259088149145,-6.655142549029945
115.0575287643822,-1.198195991609537,-10.67091827356114,1.6680078784181491,-10.201106386752528
120.06003001500751,-1.2477062203472011,-10.60563194698661,7.812752890561407,-4.040585276772404
125.06253126563283,-1.2970156861732831,-10.538005547119525,-10.69422518364933,-22.529246416942136
130.06503251625813,-1.3461260106929875,-10.467126708600086,3.8569144240338424,-7.956338295259231
135.06753376688346,-1.3950387959434465,-10.394097327204348,0.04793750472529679,-11.741198618422496
140.07003501750876,-1.4437556247072847,-10.31827076593704,2.148532600631759,-9.613493790012566
145.0725362681341,-1.4922780608199508,-10.240347756664544,-2.5299970878836717,-14.262622905368167
150.0750375187594,-1.5406076494709326,-10.159217831834052,-0.5546431378103454,-12.254468619115329
155.07753876938472,-1.588745917499009,-10.075506885511416,2.7033569250669425,-8.960895877943482
160.08004002001002,-1.6366943736816832,-9.989599739076713,-0.09088233839219018,-11.717176451150586
165.08254127063532,-1.6844545090189313,-9.901446741872329,7.1990757226870095,-4.38682552820425
170.08504252126065,-1.7320277970114004,-9.810433229934874,0.5021070044708571,-11.040354022475416
175.08754377188595,-1.7794156939331869,-9.717771910391814,7.310001719467259,-4.187185884857742
180.09004502251128,-1.826619639099319,-9.62266648637386,-5.754869007577348,-17.204155133050527
185.09254627313658,-1.8736410551280676,-9.52453422151047,-7.112912487098815,-18.51108776373735
190.0950475237619,-1.9204813481982084,-9.424914037418615,-31.387933495840187,-42.73332888145701
195.0975487743872,-1.967141908301342,-9.322854602544302,3.5680802058640406,-7.721916304981603
200.10005002501254,-2.0136241094893994,-9.218755373567348,-4.802110101712312,-16.03448958476906
205.10255127563784,-2.0599293101174254,-9.112525772213997,-3.225816254056193,-14.398271336387616
210.10505252626314,-2.1060588530817723,-9.004247404485309,2.6026002251277873,-8.507706032439295
215.10755377688847,-2.1520140660537708,-8.893459554548746,-11.469186973851206,-22.514660594453723
220.11005502751377,-2.197796261709022,-8.78176560636956,-0.1084407464669388,-11.088002614545523
225.1125562781391,-2.2434067379523785,-8.668314567407162,-0.44962298580367666,-11.361344291163217
230.1150575287644,-2.2888467781387285,-8.552694383447907,-5.08934968177868,-15.930890843365315
235.11755877938973,-2.3341176512896618,-8.436109888601345,6.988549097900377,-3.78167844199063
240.12006003001503,-2.379220612306126,-8.317353352777868,-11.266396278238322,-21.962970243322317
245.12256128064033,-2.4241569021771494,-8.19623517030325,-9.47694223807727,-20.09733431055767
250.12506253126566,-2.468927748184721,-8.074081214162213,-1.1168122508578504,-11.659821213204786
255.12756378189096,-2.5135343641049137,-7.950977398690856,-3.052593810116111,-13.51710557291188
260.13006503251626,-2.557977950405335,-7.826778518516746,-3.9046231568465446,-14.289379625768625
265.1325662831416,-2.602259694438976,-7.701497195879439,-10.853455278207004,-21.15721216852542
270.1350675337669,-2.6463807706345523,-7.575840911628,2.5501962273549417,-7.672025454907612
275.1375687843922,-2.6903423406833933,-7.448562827076954,-3.46442548265565,-13.603330650415998
280.1400700350175,-2.7341455537229775,-7.320678273876833,1.7379501980285976,-8.316873629571214
285.1425712856428,-2.777791546517163,-7.191756390267223,-2.1509908917696205,-12.120538828554006
290.1450725362682,-2.8212814436332128,-7.06236055453437,-2.0245731361181645,-11.908215134285747
295.1475737868935,-2.8646163576156285,-6.932222161645151,-12.28484205948214,-22.08168057874292
300.1500750375188,-2.9077973891569475,-6.800743678897302,-0.9063149341493664,-10.614856002203615
305.1525762881441,-2.950825627265484,-6.670210888366265,-12.138486583162496,-21.759523098794247
310.15507753876943,-2.993702149430118,-6.538754623650945,-1.7605075233764553,-11.292964296457518
315.15757878939473,-3.0364280217821973,-6.407683971108789,-11.503542495884735,-20.947654488775722
320.16008004002003,-3.0790042992546005,-6.276158571928038,-1.7720906430798407,-11.12725351426248
325.16258129064533,-3.1214320257380272,-6.143678184090698,-3.306831343071851,-12.571941552900576
330.16508254127064,-3.1637122342345676,-6.011691732005906,5.7696794912480875,-3.405724474992386
335.167583791896,-3.2058459470086147,-5.880054176423439,-11.731193917635068,-20.817094041067122
340.1700850425213,-3.2478341757351705,-5.748352669847634,3.363672749685188,-5.632514095897617
345.1725862931466,-3.2896779216455987,-5.616870204870988,0.9419299269475023,-7.964618199569085
350.1750875437719,-3.3313781756708827,-5.485724817605046,-0.9991098069014321,-9.816212800177361
355.17758879439725,-3.372935918582428,-5.354714487034215,1.0635238805888436,-7.6641265250277995
360.18009004502255,-3.4143521211304764,-5.223804024245261,1.7511966019448195,-6.886959543430919
365.18259129564785,-3.455627744180163,-5.093673559316648,-14.223497403661494,-22.772798707158305
370.18509254627315,-3.496763738845277,-4.963365942794081,-4.363027823823325,-12.823157505462683
375.18759379689845,-3.5377610466197607,-4.833500182603485,-11.480652425020157,-19.851913654243404
380.1900950475238,-3.578620599507019,-4.704761366978786,-4.9155545768532,-13.198936543339006
385.1925962981491,-3.6193433201470238,-4.5761016588096535,5.387188007687407,-2.8082569712692704
390.1950975487744,-3.6599301219413505,-4.448716338273826,-9.688909206849681,-17.797555667064856
395.1975987993997,-3.700381909176086,-4.321218630536866,-7.286005864866227,-15.307606404579179
400.20010005002507,-3.7406995771427285,-4.194594681027798,-5.962857076562294,-13.89815133473282
405.2026013006504,-3.780884012257082,-4.068008270448839,-2.711269213008196,-10.560161495714118
410.2051025512757,-3.8209360921761872,-3.9424417235746354,4.904322533447953,-2.8590552823028696
415.207603801901,-3.860856685913342,-3.817304224586851,7.506966106551536,-0.17119480394865683
420.2101050525263,-3.900646653951234,-3.693435089831181,1.058350653377115,-6.5357310904053
425.21260630315163,-3.940306848353228,-3.570179667901222,-0.12350186627731041,-7.6339883825317605
430.21510755377693,-3.979838112872853,-3.446753737008825,-2.012645010342541,-9.43923686022422
435.21760880440223,-4.019241283061499,-3.3250925490893737,-17.496384898499645,-24.84071873065052
440.22011005502753,-4.058517186374393,-3.202992002628938,-0.2274611709820067,-7.488970359985338
445.22261130565283,-4.097666642274865,-3.0821920580729465,1.5405294402310683,-5.639329260116742
450.2251125562782,-4.136690462336911,-2.9620869757205592,-0.8149421971707191,-7.913719635228189
455.2276138069035,-4.17558945034618,-2.841743263632056,1.238947663276066,-5.77838505070217
460.2301150575288,-4.214364402399273,-2.721850496433076,-5.979187426442692,-12.915402325275041
465.2326163081541,-4.253016107001537,-2.60284551879779,-0.7094557428760864,-7.565317368675413
470.23511755877945,-4.291545345163245,-2.4846839895677952,2.1570194968019774,-4.619209837929063
475.23761880940475,-4.329952890494313,-2.367074420221422,-1.7034361600543644,-8.400463470770099
480.24012006003005,-4.368239509297488,-2.249253324105328,-2.9466095305839026,-9.564102363986718
485.24262131065535,-4.4064059606600825,-2.1317932318449313,-0.24820629727867338,-6.786405489783687
490.24512256128065,-4.444452996544289,-2.0144262695082875,1.858983932971392,-4.599895333081185
495.247623811906,-4.482381361876066,-1.8974967990520337,-3.7123203190174023,-10.092198479945502
500.2501250625313,-4.520191794632654,-1.7811782884962812,1.7882467447852535,-4.513123338343682
505.2526263131566,-4.557885025928733,-1.665215215158748,-0.4762476069217443,-6.699347848009225
510.2551275637819,-4.595461780101242,-1.5500824512440987,2.119077657859889,-4.026466573485451
515.2576288144072,-4.632922774792903,-1.4343979711716592,1.1216429290710308,-4.945677816893532
520.2601300650325,-4.670268721034459,-1.3184928386547385,-0.4813258452584961,-6.4700874049476935
525.2626313156578,-4.70750032332564,-1.20334588462294,2.405129141988268,-3.5057170659603116
530.2651325662832,-4.744618279714923,-1.0874575508543822,-2.4687053580496596,-8.300781188618965
535.2676338169085,-4.781623281878038,-0.9721726164912101,1.517697874029376,-4.236098024339872
540.2701350675338,-4.81851601519532,-0.8562476683333081,-10.293532885956154,-15.968296569484782
545.2726363181591,-4.855297158827872,-0.740144035235353,-5.792542437891771,-11.387983631954995
550.2751375687844,-4.891967385792585,-0.6237023912527961,0.06676177475011169,-5.448908002295269
555.2776388194097,-4.928527363036023,-0.5072747377157345,-4.001028378985321,-9.436830479737079
560.280140070035,-4.9649777515072175,-0.3905011335956837,1.8587393470809257,-3.4967395380219752
565.2826413206603,-5.001319206229346,-0.2738930636631819,3.2461572267456793,-2.0290550431468484
570.2851425712856,-5.037552376370379,-0.15684959640306972,3.0576761957819736,-2.136725776991475
575.287643821911,-5.073677905312653,-0.039060234540707305,-5.95476680317424,-11.0675049430276
580.2901450725363,-5.109696430721407,0.07919801717190797,-11.540491038488376,-16.570989452037875
585.2926463231616,-5.145608584612326,0.1973134761557234,4.590476103896638,-0.35781900455996496
590.295147573787,-5.1814149934180955,0.31594795589772473,6.30742088951647,1.4419538519960993
595.2976488244122,-5.217116278053948,0.43481402602360386,-1.516789345649546,-6.29909159767989
600.3001500750375,-5.252713053982273,0.5541061593067312,5.916869483205779,1.2182625885302372
605.3026513256629,-5.288205931276286,0.6741409038646722,-3.975969920386164,-8.590034947797777
610.3051525762882,-5.323595514682754,0.7952636037772282,-2.3728235533531126,-6.901155464258638
615.3076538269135,-5.358882403683839,0.9162480988379046,-11.499655748753103,-15.942290053599038
620.3101550775389,-5.394067192558002,1.037985525335679,-12.215015760108459,-16.571097427330784
625.3126563281642,-5.429150470440083,1.1594908264008075,-0.24052933920310338,-4.510188983242379
630.3151575787895,-5.46413282138047,1.281344960974348,1.3646907437050748,-2.818097116701047
635.3176588294148,-5.499014824403454,1.4042947239211803,4.509991744579912,0.41527164409763806
640.3201600800401,-5.533797053564716,1.5273069299789976,-1.7786414887348139,-5.785131612320533
645.3226613306654,-5.568480078008033,1.6500186850845813,3.130599080452156,-0.7878623124712956
650.3251625812907,-5.603064462021139,1.773819363610814,-7.9973887302633875,-11.826633828673714
655.327663831916,-5.637550765090826,1.8977689232663197,-36.088820394657574,-39.828602236482084
660.3301650825413,-5.671939541957241,2.022030855476295,0.03691942689212091,-3.612989259588825
665.3326663331667,-5.706231342667432,2.146652986543108,0.9401500946652548,-2.619428261459069
670.335167583792,-5.740426712628141,2.271741173650646,-10.613050391927185,-14.08173593090468
675.3376688344173,-5.774526192657847,2.3963727353319824,-5.1898351150855575,-8.567988572411423
680.3401700850426,-5.808530319038092,2.521667903977562,-20.696082821292972,-23.9829452363535
685.3426713356679,-5.8424396235640845,2.647064702062271,2.003097687208271,-1.1922772342935426
690.3451725862932,-5.8762546335946055,2.7721857401802508,1.673202454318579,-1.4308664390957757
695.3476738369185,-5.909975872101208,2.897264402607646,1.3317478212212075,-1.6809636482723547
700.3501750875438,-5.943603857716764,3.021397373360439,-5.8703993511358075,-8.792605835492132
705.3526763381691,-5.977139104783306,3.1460788570166276,2.2923730691977804,-0.5386871785688978
710.3551775887945,-6.010582123399249,3.270624431991613,-9.558606055546768,-12.298563746954404
