phi,Ed_dB,Etot_dB
31.2164,-41.3156,6.0296
31.3765,-41.2633,5.9730
31.5366,-41.2112,5.7834
31.6966,-41.1593,5.4556
31.8567,-41.1076,4.9794
32.0168,-41.0561,4.3381
32.1769,-41.0047,3.5061
32.3370,-40.9535,2.4433
32.4970,-40.9024,1.0857
32.6571,-40.8516,-0.6762
32.8172,-40.8009,-3.0503
32.9773,-40.7503,-6.5081
33.1374,-40.6999,-12.5744
33.2974,-40.6497,-39.8687
33.4575,-40.5996,-12.1782
33.6176,-40.5497,-6.3333
33.7777,-40.4999,-2.9587
33.9378,-40.4503,-0.6321
34.0978,-40.4008,1.0980
34.2579,-40.3515,2.4332
34.4180,-40.3023,3.4807
34.5781,-40.2533,4.3037
34.7382,-40.2044,4.9421
34.8982,-40.1556,5.4222
35.0583,-40.1070,5.7614
35.2184,-40.0585,5.9710
35.3785,-40.0102,6.0579
35.5385,-39.9619,6.0252
35.6986,-39.9138,5.8729
35.8587,-39.8659,5.5972
36.0188,-39.8180,5.1909
36.1789,-39.7703,4.6419
36.3389,-39.7227,3.9317
36.4990,-39.6752,3.0322
36.6591,-39.6279,1.9005
36.8192,-39.5807,0.4675
36.9793,-39.5335,-1.3859
37.1393,-39.4865,-3.8895
37.2994,-39.4397,-7.5827
37.4595,-39.3929,-14.3573
37.6196,-39.3462,-28.6302
37.7797,-39.2997,-11.5714
37.9397,-39.2532,-6.2491
38.0998,-39.2069,-3.0567
38.2599,-39.1606,-0.8181
38.4200,-39.1145,0.8655
38.5800,-39.0685,2.1776
38.7401,-39.0226,3.2179
38.9002,-38.9767,4.0458
39.0603,-38.9310,4.6996
39.2204,-38.8854,5.2045
39.3804,-38.8398,5.5780
39.5405,-38.7944,5.8315
39.7006,-38.7491,5.9729
39.8607,-38.7038,6.0064
40.0208,-38.6586,5.9337
40.1808,-38.6136,5.7538
40.3409,-38.5686,5.4628
40.5010,-38.5237,5.0539
40.6611,-38.4789,4.5162
40.8212,-38.4342,3.8336
40.9812,-38.3895,2.9821
41.1413,-38.3450,1.9259
41.3014,-38.3005,0.6090
41.4615,-38.2561,-1.0612
41.6216,-38.2118,-3.2532
41.7816,-38.1675,-6.3240
41.9417,-38.1234,-11.2726
42.1018,-38.0793,-24.2380
42.2619,-38.0353,-16.3601
42.4219,-37.9913,-8.8267
42.5820,-37.9475,-4.9233
42.7421,-37.9037,-2.3181
42.9022,-37.8599,-0.3992
43.0623,-37.8163,1.0866
43.2223,-37.7727,2.2681
43.3824,-37.7292,3.2200
43.5425,-37.6857,3.9889
43.7026,-37.6424,4.6057
43.8627,-37.5990,5.0914
44.0227,-37.5558,5.4609
44.1828,-37.5126,5.7245
44.3429,-37.4695,5.8893
44.5030,-37.4264,5.9596
44.6631,-37.3834,5.9379
44.8231,-37.3404,5.8244
44.9832,-37.2975,5.6174
45.1433,-37.2547,5.3132
45.3034,-37.2119,4.9055
45.4634,-37.1692,4.3849
45.6235,-37.1265,3.7379
