phi,Ed_dB,Etot_dB
136.7085,-11.0327,-2.3769
136.8686,-11.1345,-2.6251
137.0287,-11.2348,-2.7508
137.1887,-11.3334,-2.7425
137.3488,-11.4306,-2.6044
137.5089,-11.5263,-2.3550
137.6690,-11.6206,-2.0215
137.8291,-11.7134,-1.6337
137.9891,-11.8049,-1.2186
138.1492,-11.8951,-0.7982
138.3093,-11.9839,-0.3889
138.4694,-12.0715,-0.0024
138.6294,-12.1578,0.3534
138.7895,-12.2430,0.6736
138.9496,-12.3269,0.9550
139.1097,-12.4097,1.1960
139.2698,-12.4913,1.3957
139.4298,-12.5718,1.5538
139.5899,-12.6513,1.6704
139.7500,-12.7296,1.7457
139.9101,-12.8070,1.7802
140.0702,-12.8833,1.7745
140.2302,-12.9586,1.7290
140.3903,-13.0329,1.6446
140.5504,-13.1063,1.5222
140.7105,-13.1788,1.3628
140.8706,-13.2503,1.1679
141.0306,-13.3209,0.9397
141.1907,-13.3907,0.6808
141.3508,-13.4595,0.3951
141.5109,-13.5276,0.0877
141.6709,-13.5947,-0.2345
141.8310,-13.6611,-0.5625
141.9911,-13.7267,-0.8850
142.1512,-13.7914,-1.1884
142.3113,-13.8554,-1.4574
142.4713,-13.9187,-1.6758
142.6314,-13.9812,-1.8291
142.7915,-14.0429,-1.9061
142.9516,-14.1039,-1.9017
143.1117,-14.1643,-1.8174
143.2717,-14.2239,-1.6612
143.4318,-14.2828,-1.4462
143.5919,-14.3411,-1.1878
143.7520,-14.3987,-0.9017
143.9121,-14.4556,-0.6024
144.0721,-14.5119,-0.3023
144.2322,-14.5676,-0.0114
144.3923,-14.6226,0.2626
144.5524,-14.6771,0.5140
144.7125,-14.7309,0.7385
144.8725,-14.7841,0.9332
145.0326,-14.8368,1.0961
145.1927,-14.8889,1.2260
145.3528,-14.9404,1.3219
145.5128,-14.9913,1.3836
145.6729,-15.0417,1.4108
145.8330,-15.0916,1.4039
145.9931,-15.1409,1.3631
146.1532,-15.1897,1.2892
146.3132,-15.2380,1.1832
146.4733,-15.2858,1.0462
146.6334,-15.3330,0.8801
146.7935,-15.3798,0.6873
146.9536,-15.4261,0.4709
147.1136,-15.4719,0.2347
147.2737,-15.5172,-0.0159
147.4338,-15.5620,-0.2744
147.5939,-15.6064,-0.5331
147.7540,-15.6503,-0.7824
147.9140,-15.6938,-1.0119
148.0741,-15.7368,-1.2103
148.2342,-15.7794,-1.3669
148.3943,-15.8215,-1.4721
148.5543,-15.8632,-1.5196
148.7144,-15.9045,-1.5065
148.8745,-15.9454,-1.4344
149.0346,-15.9859,-1.3090
149.1947,-16.0259,-1.1388
149.3547,-16.0656,-0.9345
149.5148,-16.1048,-0.7069
149.6749,-16.1437,-0.4669
149.8350,-16.1821,-0.2238
149.9951,-16.2202,0.0142
150.1551,-16.2579,0.2404
150.3152,-16.2952,0.4496
150.4753,-16.3322,0.6378
150.6354,-16.3687,0.8018
150.7955,-16.4050,0.9396
150.9555,-16.4408,1.0494
151.1156,-16.4763,1.1303
151.2757,-16.5115,1.1816
151.4358,-16.5463,1.2031
151.5959,-16.5807,1.1947
151.7559,-16.6148,1.1569
151.9160,-16.6486,1.0902
152.0761,-16.6821,0.9957
152.2362,-16.7152,0.8745
152.3962,-16.7480,0.7287
152.5563,-16.7804,0.5604
152.7164,-16.8126,0.3728
152.8765,-16.8444,0.1695
153.0366,-16.8759,-0.0445
153.1966,-16.9072,-0.2636
153.3567,-16.9381,-0.4810
153.5168,-16.9687,-0.6890
153.6769,-16.9990,-0.8791
153.8370,-17.0290,-1.0426
153.9970,-17.0587,-1.1714
154.1571,-17.0881,-1.2585
154.3172,-17.1172,-1.2991
154.4773,-17.1460,-1.2909
154.6374,-17.1746,-1.2350
154.7974,-17.2029,-1.1351
154.9575,-17.2309,-0.9974
155.1176,-17.2586,-0.8297
155.2777,-17.2860,-0.6404
155.4377,-17.3132,-0.4379
155.5978,-17.3401,-0.2301
155.7579,-17.3667,-0.0240
155.9180,-17.3931,0.1744
156.0781,-17.4192,0.3602
156.2381,-17.4450,0.5296
156.3982,-17.4706,0.6793
156.5583,-17.4960,0.8071
156.7184,-17.5210,0.9111
156.8785,-17.5459,0.9903
157.0385,-17.5704,1.0437
157.1986,-17.5948,1.0708
157.3587,-17.6189,1.0717
157.5188,-17.6427,1.0464
157.6789,-17.6663,0.9954
157.8389,-17.6897,0.9195
157.9990,-17.7128,0.8199
158.1591,-17.7357,0.6980
158.3192,-17.7583,0.5559
158.4792,-17.7808,0.3961
158.6393,-17.8029,0.2218
158.7994,-17.8249,0.0367
158.9595,-17.8467,-0.1544
159.1196,-17.8682,-0.3462
159.2796,-17.8894,-0.5325
159.4397,-17.9105,-0.7066
159.5998,-17.9314,-0.8615
159.7599,-17.9520,-0.9904
159.9200,-17.9724,-1.0872
160.0800,-17.9926,-1.1470
160.2401,-18.0126,-1.1668
160.4002,-18.0323,-1.1458
160.5603,-18.0519,-1.0855
160.7204,-18.0712,-0.9893
160.8804,-18.0904,-0.8626
161.0405,-18.1093,-0.7115
161.2006,-18.1280,-0.5430
161.3607,-18.1465,-0.3637
161.5208,-18.1648,-0.1802
161.6808,-18.1830,0.0019
161.8409,-18.2009,0.1775
162.0010,-18.2186,0.3425
162.1611,-18.2361,0.4934
162.3211,-18.2534,0.6275
162.4812,-18.2705,0.7426
162.6413,-18.2875,0.8371
162.8014,-18.3042,0.9097
162.9615,-18.3207,0.9597
163.1215,-18.3371,0.9867
163.2816,-18.3532,0.9903
163.4417,-18.3692,0.9708
163.6018,-18.3850,0.9285
163.7619,-18.4006,0.8640
163.9219,-18.4160,0.7784
164.0820,-18.4312,0.6729
164.2421,-18.4463,0.5492
164.4022,-18.4611,0.4094
164.5623,-18.4758,0.2562
164.7223,-18.4903,0.0927
164.8824,-18.5046,-0.0773
165.0425,-18.5187,-0.2496
165.2026,-18.5327,-0.4191
165.3626,-18.5465,-0.5805
165.5227,-18.5601,-0.7280
165.6828,-18.5735,-0.8561
165.8429,-18.5868,-0.9594
166.0030,-18.5998,-1.0333
166.1630,-18.6127,-1.0744
166.3231,-18.6255,-1.0810
166.4832,-18.6380,-1.0529
166.6433,-18.6504,-0.9917
166.8034,-18.6627,-0.9007
166.9634,-18.6747,-0.7840
167.1235,-18.6866,-0.6470
167.2836,-18.6983,-0.4952
167.4437,-18.7099,-0.3340
167.6038,-18.7212,-0.1688
167.7638,-18.7325,-0.0044
167.9239,-18.7435,0.1550
168.0840,-18.7544,0.3058
168.2441,-18.7651,0.4450
168.4041,-18.7757,0.5700
168.5642,-18.7861,0.6789
168.7243,-18.7963,0.7701
168.8844,-18.8064,0.8426
169.0445,-18.8163,0.8954
169.2045,-18.8261,0.9280
169.3646,-18.8357,0.9402
169.5247,-18.8451,0.9319
169.6848,-18.8544,0.9034
169.8449,-18.8635,0.8552
170.0049,-18.8725,0.7878
170.1650,-18.8813,0.7023
170.3251,-18.8900,0.5999
170.4852,-18.8985,0.4823
170.6453,-18.9068,0.3512
170.8053,-18.9150,0.2092
170.9654,-18.9230,0.0590
171.1255,-18.9309,-0.0962
171.2856,-18.9387,-0.2527
171.4457,-18.9462,-0.4063
171.6057,-18.9537,-0.5527
171.7658,-18.9609,-0.6871
171.9259,-18.9681,-0.8050
172.0860,-18.9750,-0.9020
172.2460,-18.9819,-0.9743
172.4061,-18.9885,-1.0190
172.5662,-18.9951,-1.0343
172.7263,-19.0014,-1.0198
172.8864,-19.0077,-0.9762
173.0464,-19.0137,-0.9056
173.2065,-19.0197,-0.8111
173.3666,-19.0254,-0.6965
173.5267,-19.0311,-0.5663
173.6868,-19.0366,-0.4248
173.8468,-19.0419,-0.2766
174.0069,-19.0471,-0.1258
174.1670,-19.0521,0.0236
174.3271,-19.0570,0.1685
174.4872,-19.0618,0.3057
174.6472,-19.0664,0.4328
174.8073,-19.0709,0.5478
174.9674,-19.0752,0.6490
175.1275,-19.0794,0.7350
175.2875,-19.0834,0.8050
175.4476,-19.0873,0.8580
175.6077,-19.0910,0.8937
175.7678,-19.0946,0.9117
175.9279,-19.0981,0.9119
176.0879,-19.1014,0.8945
176.2480,-19.1045,0.8597
176.4081,-19.1076,0.8080
176.5682,-19.1104,0.7400
176.7283,-19.1132,0.6567
176.8883,-19.1158,0.5592
177.0484,-19.1182,0.4488
177.2085,-19.1206,0.3273
177.3686,-19.1227,0.1965
177.5287,-19.1248,0.0587
177.6887,-19.1266,-0.0834
177.8488,-19.1284,-0.2269
178.0089,-19.1300,-0.3684
178.1690,-19.1315,-0.5045
178.3291,-19.1328,-0.6315
178.4891,-19.1340,-0.7457
178.6492,-19.1350,-0.8435
178.8093,-19.1359,-0.9217
178.9694,-19.1367,-0.9776
179.1294,-19.1373,-1.0093
179.2895,-19.1378,-1.0157
179.4496,-19.1381,-0.9967
179.6097,-19.1383,-0.9531
179.7698,-19.1384,-0.8868
179.9298,-19.1383,-0.8003
180.0899,-19.1380,-0.6965
180.2500,-19.1377,-0.5789
180.4101,-19.1372,-0.4510
180.5702,-19.1365,-0.3165
180.7302,-19.1357,-0.1786
180.8903,-19.1348,-0.0406
181.0504,-19.1337,0.0949
181.2105,-19.1325,0.2252
181.3706,-19.1312,0.3481
181.5306,-19.1297,0.4620
181.6907,-19.1281,0.5652
181.8508,-19.1263,0.6565
182.0109,-19.1244,0.7348
182.1709,-19.1223,0.7995
182.3310,-19.1201,0.8499
182.4911,-19.1178,0.8857
182.6512,-19.1153,0.9065
182.8113,-19.1127,0.9122
182.9713,-19.1099,0.9030
183.1314,-19.1070,0.8790
183.2915,-19.1040,0.8405
183.4516,-19.1008,0.7878
183.6117,-19.0975,0.7217
183.7717,-19.0940,0.6428
183.9318,-19.0904,0.5521
184.0919,-19.0866,0.4506
184.2520,-19.0827,0.3396
184.4121,-19.0787,0.2206
184.5721,-19.0745,0.0953
184.7322,-19.0702,-0.0343
184.8923,-19.0657,-0.1661
185.0524,-19.0611,-0.2976
185.2124,-19.0563,-0.4262
185.3725,-19.0514,-0.5493
185.5326,-19.0463,-0.6639
185.6927,-19.0412,-0.7672
185.8528,-19.0358,-0.8565
186.0128,-19.0303,-0.9295
186.1729,-19.0247,-0.9840
186.3330,-19.0189,-1.0185
186.4931,-19.0130,-1.0320
186.6532,-19.0069,-1.0242
186.8132,-19.0007,-0.9955
186.9733,-18.9944,-0.9468
187.1334,-18.9878,-0.8799
187.2935,-18.9812,-0.7967
187.4536,-18.9744,-0.6996
187.6136,-18.9674,-0.5913
187.7737,-18.9603,-0.4744
187.9338,-18.9531,-0.3516
188.0939,-18.9457,-0.2254
188.2540,-18.9381,-0.0983
188.4140,-18.9304,0.0276
188.5741,-18.9226,0.1503
188.7342,-18.9146,0.2680
188.8943,-18.9064,0.3793
189.0543,-18.8981,0.4829
189.2144,-18.8896,0.5777
189.3745,-18.8810,0.6627
189.5346,-18.8723,0.7373
189.6947,-18.8633,0.8009
189.8547,-18.8543,0.8531
190.0148,-18.8450,0.8934
190.1749,-18.8357,0.9218
190.3350,-18.8261,0.9380
190.4951,-18.8164,0.9420
190.6551,-18.8066,0.9339
190.8152,-18.7966,0.9138
190.9753,-18.7864,0.8820
191.1354,-18.7761,0.8387
191.2955,-18.7656,0.7842
191.4555,-18.7549,0.7192
191.6156,-18.7441,0.6440
191.7757,-18.7332,0.5595
191.9358,-18.7220,0.4664
192.0958,-18.7107,0.3655
192.2559,-18.6993,0.2579
192.4160,-18.6877,0.1448
192.5761,-18.6759,0.0275
192.7362,-18.6639,-0.0926
192.8962,-18.6518,-0.2138
193.0563,-18.6395,-0.3345
193.2164,-18.6271,-0.4528
193.3765,-18.6145,-0.5668
193.5366,-18.6017,-0.6744
193.6966,-18.5888,-0.7736
193.8567,-18.5756,-0.8626
194.0168,-18.5624,-0.9395
194.1769,-18.5489,-1.0026
194.3370,-18.5353,-1.0506
194.4970,-18.5214,-1.0824
194.6571,-18.5075,-1.0974
194.8172,-18.4933,-1.0953
194.9773,-18.4790,-1.0763
195.1373,-18.4645,-1.0409
195.2974,-18.4498,-0.9900
195.4575,-18.4349,-0.9250
195.6176,-18.4199,-0.8474
195.7777,-18.4047,-0.7588
195.9377,-18.3893,-0.6611
196.0978,-18.3737,-0.5561
196.2579,-18.3579,-0.4458
196.4180,-18.3420,-0.3317
196.5781,-18.3258,-0.2158
196.7381,-18.3095,-0.0995
196.8982,-18.2930,0.0157
197.0583,-18.2763,0.1285
197.2184,-18.2594,0.2378
197.3785,-18.2423,0.3425
197.5385,-18.2250,0.4418
197.6986,-18.2076,0.5349
197.8587,-18.1899,0.6211
198.0188,-18.1721,0.6999
198.1789,-18.1540,0.7709
198.3389,-18.1358,0.8338
198.4990,-18.1173,0.8881
198.6591,-18.0987,0.9338
198.8192,-18.0798,0.9706
198.9792,-18.0608,0.9984
199.1393,-18.0415,1.0172
199.2994,-18.0221,1.0270
199.4595,-18.0024,1.0277
199.6196,-17.9826,1.0195
199.7796,-17.9625,1.0024
199.9397,-17.9422,0.9767
200.0998,-17.9217,0.9424
200.2599,-17.9010,0.8997
200.4200,-17.8800,0.8490
200.5800,-17.8589,0.7905
200.7401,-17.8375,0.7245
200.9002,-17.8159,0.6515
201.0603,-17.7941,0.5718
201.2204,-17.7721,0.4859
201.3804,-17.7498,0.3944
201.5405,-17.7274,0.2978
201.7006,-17.7046,0.1969
201.8607,-17.6817,0.0922
202.0207,-17.6585,-0.0152
202.1808,-17.6351,-0.1247
202.3409,-17.6115,-0.2353
202.5010,-17.5876,-0.3459
202.6611,-17.5635,-0.4555
202.8211,-17.5392,-0.5630
202.9812,-17.5146,-0.6671
203.1413,-17.4897,-0.7668
203.3014,-17.4646,-0.8608
203.4615,-17.4393,-0.9479
203.6215,-17.4137,-1.0270
203.7816,-17.3879,-1.0970
203.9417,-17.3618,-1.1570
204.1018,-17.3354,-1.2059
204.2619,-17.3088,-1.2433
204.4219,-17.2819,-1.2685
204.5820,-17.2548,-1.2813
204.7421,-17.2274,-1.2815
204.9022,-17.1997,-1.2692
205.0622,-17.1718,-1.2448
205.2223,-17.1436,-1.2086
205.3824,-17.1151,-1.1613
205.5425,-17.0863,-1.1038
205.7026,-17.0572,-1.0370
205.8626,-17.0279,-0.9617
206.0227,-16.9983,-0.8792
206.1828,-16.9684,-0.7904
206.3429,-16.9382,-0.6964
206.5030,-16.9077,-0.5982
206.6630,-16.8769,-0.4970
206.8231,-16.8458,-0.3937
206.9832,-16.8144,-0.2891
207.1433,-16.7826,-0.1842
207.3034,-16.7506,-0.0797
207.4634,-16.7183,0.0238
207.6235,-16.6856,0.1254
207.7836,-16.6527,0.2248
207.9437,-16.6194,0.3213
208.1038,-16.5858,0.4146
208.2638,-16.5518,0.5043
208.4239,-16.5175,0.5899
208.5840,-16.4829,0.6714
208.7441,-16.4480,0.7483
208.9041,-16.4127,0.8204
209.0642,-16.3770,0.8878
209.2243,-16.3410,0.9501
209.3844,-16.3046,1.0072
209.5445,-16.2679,1.0592
209.7045,-16.2308,1.1059
209.8646,-16.1934,1.1472
210.0247,-16.1556,1.1832
210.1848,-16.1174,1.2139
210.3449,-16.0788,1.2392
210.5049,-16.0398,1.2591
210.6650,-16.0005,1.2738
210.8251,-15.9607,1.2831
210.9852,-15.9205,1.2872
211.1453,-15.8800,1.2861
211.3053,-15.8390,1.2798
211.4654,-15.7976,1.2685
211.6255,-15.7558,1.2521
211.7856,-15.7136,1.2309
211.9456,-15.6709,1.2047
212.1057,-15.6278,1.1738
212.2658,-15.5843,1.1383
212.4259,-15.5403,1.0981
212.5860,-15.4958,1.0535
212.7460,-15.4509,1.0045
212.9061,-15.4055,0.9512
213.0662,-15.3597,0.8939
213.2263,-15.3134,0.8325
213.3864,-15.2665,0.7673
213.5464,-15.2192,0.6983
213.7065,-15.1714,0.6258
213.8666,-15.1231,0.5498
214.0267,-15.0743,0.4706
214.1868,-15.0249,0.3884
214.3468,-14.9750,0.3033
214.5069,-14.9246,0.2155
214.6670,-14.8736,0.1252
214.8271,-14.8221,0.0327
214.9872,-14.7700,-0.0617
215.1472,-14.7173,-0.1579
215.3073,-14.6641,-0.2556
215.4674,-14.6103,-0.3545
215.6275,-14.5558,-0.4543
215.7875,-14.5008,-0.5546
215.9476,-14.4451,-0.6553
216.1077,-14.3889,-0.7558
216.2678,-14.3319,-0.8559
216.4279,-14.2744,-0.9552
216.5879,-14.2161,-1.0533
216.7480,-14.1572,-1.1499
216.9081,-14.0976,-1.2445
217.0682,-14.0374,-1.3367
217.2283,-13.9764,-1.4261
217.3883,-13.9147,-1.5124
217.5484,-13.8522,-1.5951
217.7085,-13.7891,-1.6738
217.8686,-13.7251,-1.7482
218.0287,-13.6604,-1.8178
218.1887,-13.5949,-1.8823
218.3488,-13.5286,-1.9415
218.5089,-13.4615,-1.9949
218.6690,-13.3936,-2.0424
218.8290,-13.3248,-2.0837
218.9891,-13.2552,-2.1186
219.1492,-13.1846,-2.1469
219.3093,-13.1132,-2.1687
219.4694,-13.0408,-2.1837
219.6294,-12.9676,-2.1921
219.7895,-12.8933,-2.1938
219.9496,-12.8181,-2.1889
220.1097,-12.7419,-2.1775
220.2698,-12.6647,-2.1598
220.4298,-12.5864,-2.1359
220.5899,-12.5071,-2.1061
220.7500,-12.4267,-2.0707
220.9101,-12.3452,-2.0298
221.0702,-12.2626,-1.9838
221.2302,-12.1788,-1.9330
221.3903,-12.0938,-1.8776
221.5504,-12.0076,-1.8181
221.7105,-11.9202,-1.7546
221.8705,-11.8315,-1.6876
222.0306,-11.7415,-1.6173
222.1907,-11.6502,-1.5441
222.3508,-11.5575,-1.4681
222.5109,-11.4634,-1.3898
222.6709,-11.3678,-1.3093
222.8310,-11.2708,-1.2269
222.9911,-11.1723,-1.1429
223.1512,-11.0722,-1.0575
223.3113,-10.9706,-0.9708
223.4713,-10.8673,-0.8830
223.6314,-10.7623,-0.7944
223.7915,-10.6555,-0.7051
223.9516,-10.5470,-0.6152
224.1117,-10.4367,-0.5249
224.2717,-10.3245,-0.4342
224.4318,-10.2103,-0.3433
224.5919,-10.0942,-0.2522
224.7520,-9.9759,-0.1610
224.9121,-9.8556,-0.0698
225.0721,-9.7331,0.0214
225.2322,-9.6082,0.1125
225.3923,-9.4811,0.2036
225.5524,-9.3515,0.2946
225.7124,-9.2195,0.3855
225.8725,-9.0848,0.4763
226.0326,-8.9475,0.5671
226.1927,-8.8074,0.6578
226.3528,-8.6644,0.7485
226.5128,-8.5184,0.8393
226.6729,-8.3693,0.9301
226.8330,-8.2170,1.0211
226.9931,-8.0614,1.1124
227.1532,-7.9023,1.2039
227.3132,-7.7396,1.2958
227.4733,-7.5731,1.3882
227.6334,-7.4027,1.4811
227.7935,-7.2281,1.5748
227.9536,-7.0493,1.6693
228.1136,-6.8660,1.7647
228.2737,-6.6780,1.8613
228.4338,-6.4850,1.9591
228.5939,-6.2869,2.0584
228.7539,-6.0834,2.1593
228.9140,-5.8741,2.2621
229.0741,-5.6588,2.3669
229.2342,-5.4372,2.4741
229.3943,-5.2089,2.5839
229.5543,-4.9735,2.6966
229.7144,-4.7306,2.8125
229.8745,-4.4797,2.9319
230.0346,-4.2204,3.0554
230.1947,-3.9519,3.1833
230.3547,-3.6739,3.3161
230.5148,-3.3855,3.4544
230.6749,-3.0861,3.5988
230.8350,-2.7747,3.7500
230.9951,-2.4505,3.9088
231.1551,-2.1124,4.0760
231.3152,-1.7593,4.2527
231.4753,-1.3897,4.4401
231.6354,-1.0022,4.6394
231.7954,-0.5950,4.8523
231.9555,-0.1661,5.0805
232.1156,0.2868,5.3263
232.2757,0.7666,5.5921
232.4358,1.2763,5.8809
232.5958,1.8200,6.1965
232.7559,2.4023,6.5432
232.9160,3.0289,6.9266
233.0761,3.7069,7.3535
233.2362,4.4453,7.8326
233.3962,5.2555,8.3754
233.5563,6.1526,8.9967
233.7164,7.1572,9.7170
233.8765,8.2980,10.5650
234.0366,9.6169,11.5826
234.1966,11.1790,12.8351
234.3567,13.0929,14.4317
234.5168,15.5621,16.5761
234.6769,19.0411,19.7238
234.8370,24.9660,25.3123
234.9970,59.7411,59.7474
235.1571,25.2559,25.2559
235.3172,19.1374,19.1374
235.4773,15.5723,15.5723
235.6373,13.0438,13.0438
235.7974,11.0812,11.0812
235.9575,9.4760,9.4760
236.1176,8.1170,8.1170
236.2777,6.9380,6.9380
236.4377,5.8965,5.8965
236.5978,4.9633,4.9633
236.7579,4.1178,4.1178
236.9180,3.3445,3.3445
237.0781,2.6320,2.6320
237.2381,1.9712,1.9712
237.3982,1.3549,1.3549
237.5583,0.7774,0.7774
237.7184,0.2339,0.2339
237.8785,-0.2793,-0.2793
238.0385,-0.7657,-0.7657
238.1986,-1.2279,-1.2279
238.3587,-1.6684,-1.6684
238.5188,-2.0891,-2.0891
238.6788,-2.4918,-2.4918
238.8389,-2.8780,-2.8780
238.9990,-3.2492,-3.2492
239.1591,-3.6064,-3.6064
239.3192,-3.9508,-3.9508
239.4792,-4.2832,-4.2832
239.6393,-4.6045,-4.6045
239.7994,-4.9155,-4.9155
239.9595,-5.2168,-5.2168
240.1196,-5.5091,-5.5091
240.2796,-5.7929,-5.7929
240.4397,-6.0687,-6.0687
240.5998,-6.3369,-6.3369
240.7599,-6.5981,-6.5981
240.9200,-6.8526,-6.8526
241.0800,-7.1008,-7.1008
241.2401,-7.3429,-7.3429
241.4002,-7.5793,-7.5793
241.5603,-7.8103,-7.8103
241.7203,-8.0361,-8.0361
241.8804,-8.2570,-8.2570
242.0405,-8.4732,-8.4732
242.2006,-8.6849,-8.6849
242.3607,-8.8924,-8.8924
242.5207,-9.0957,-9.0957
242.6808,-9.2951,-9.2951
242.8409,-9.4907,-9.4907
243.0010,-9.6828,-9.6828
243.1611,-9.8713,-9.8713
243.3211,-10.0566,-10.0566
243.4812,-10.2386,-10.2386
243.6413,-10.4175,-10.4175
243.8014,-10.5935,-10.5935
243.9615,-10.7666,-10.7666
244.1215,-10.9370,-10.9370
244.2816,-11.1047,-11.1047
244.4417,-11.2698,-11.2698
244.6018,-11.4324,-11.4324
244.7619,-11.5926,-11.5926
244.9219,-11.7505,-11.7505
245.0820,-11.9062,-11.9062
245.2421,-12.0596,-12.0596
245.4022,-12.2110,-12.2110
245.5622,-12.3603,-12.3603
245.7223,-12.5076,-12.5076
245.8824,-12.6530,-12.6530
246.0425,-12.7966,-12.7966
246.2026,-12.9383,-12.9383
246.3626,-13.0783,-13.0783
246.5227,-13.2165,-13.2165
246.6828,-13.3531,-13.3531
246.8429,-13.4881,-13.4881
247.0030,-13.6215,-13.6215
247.1630,-13.7534,-13.7534
247.3231,-13.8838,-13.8838
247.4832,-14.0127,-14.0127
247.6433,-14.1402,-14.1402
247.8034,-14.2664,-14.2664
247.9634,-14.3912,-14.3912
248.1235,-14.5147,-14.5147
248.2836,-14.6369,-14.6369
248.4437,-14.7579,-14.7579
248.6037,-14.8776,-14.8776
248.7638,-14.9962,-14.9962
248.9239,-15.1136,-15.1136
249.0840,-15.2299,-15.2299
249.2441,-15.3451,-15.3451
249.4041,-15.4592,-15.4592
249.5642,-15.5722,-15.5722
249.7243,-15.6842,-15.6842
249.8844,-15.7952,-15.7952
250.0445,-15.9052,-15.9052
250.2045,-16.0143,-16.0143
250.3646,-16.1224,-16.1224
250.5247,-16.2295,-16.2295
250.6848,-16.3358,-16.3358
250.8449,-16.4412,-16.4412
251.0049,-16.5457,-16.5457
251.1650,-16.6494,-16.6494
251.3251,-16.7522,-16.7522
251.4852,-16.8543,-16.8543
251.6453,-16.9555,-16.9555
251.8053,-17.0559,-17.0559
251.9654,-17.1556,-17.1556
252.1255,-17.2545,-17.2545
252.2856,-17.3527,-17.3527
252.4456,-17.4502,-17.4502
252.6057,-17.5469,-17.5469
252.7658,-17.6430,-17.6430
252.9259,-17.7384,-17.7384
253.0860,-17.8331,-17.8331
253.2460,-17.9271,-17.9271
253.4061,-18.0205,-18.0205
253.5662,-18.1133,-18.1133
253.7263,-18.2054,-18.2054
253.8864,-18.2969,-18.2969
254.0464,-18.3879,-18.3879
254.2065,-18.4782,-18.4782
254.3666,-18.5680,-18.5680
254.5267,-18.6572,-18.6572
254.6868,-18.7458,-18.7458
254.8468,-18.8339,-18.8339
255.0069,-18.9215,-18.9215
255.1670,-19.0085,-19.0085
255.3271,-19.0950,-19.0950
255.4871,-19.1810,-19.1810
255.6472,-19.2664,-19.2664
255.8073,-19.3514,-19.3514
255.9674,-19.4359,-19.4359
256.1275,-19.5200,-19.5200
256.2875,-19.6035,-19.6035
256.4476,-19.6866,-19.6866
256.6077,-19.7692,-19.7692
256.7678,-19.8514,-19.8514
256.9279,-19.9331,-19.9331
257.0879,-20.0145,-20.0145
257.2480,-20.0953,-20.0953
257.4081,-20.1758,-20.1758
257.5682,-20.2558,-20.2558
257.7283,-20.3355,-20.3355
257.8883,-20.4147,-20.4147
258.0484,-20.4936,-20.4936
258.2085,-20.5720,-20.5720
258.3686,-20.6501,-20.6501
258.5286,-20.7278,-20.7278
258.6887,-20.8051,-20.8051
258.8488,-20.8821,-20.8821
259.0089,-20.9587,-20.9587
259.1690,-21.0350,-21.0350
259.3290,-21.1109,-21.1109
259.4891,-21.1864,-21.1864
259.6492,-21.2617,-21.2617
259.8093,-21.3366,-21.3366
259.9694,-21.4111,-21.4111
260.1294,-21.4854,-21.4854
260.2895,-21.5593,-21.5593
260.4496,-21.6329,-21.6329
260.6097,-21.7062,-21.7062
260.7698,-21.7792,-21.7792
260.9298,-21.8520,-21.8520
261.0899,-21.9244,-21.9244
261.2500,-21.9965,-21.9965
261.4101,-22.0683,-22.0683
261.5702,-22.1399,-22.1399
261.7302,-22.2112,-22.2112
261.8903,-22.2822,-22.2822
262.0504,-22.3529,-22.3529
262.2105,-22.4234,-22.4234
262.3705,-22.4936,-22.4936
262.5306,-22.5636,-22.5636
262.6907,-22.6333,-22.6333
262.8508,-22.7027,-22.7027
263.0109,-22.7719,-22.7719
263.1709,-22.8409,-22.8409
263.3310,-22.9096,-22.9096
263.4911,-22.9781,-22.9781
263.6512,-23.0464,-23.0464
263.8113,-23.1144,-23.1144
263.9713,-23.1822,-23.1822
264.1314,-23.2498,-23.2498
264.2915,-23.3172,-23.3172
264.4516,-23.3843,-23.3843
264.6117,-23.4513,-23.4513
264.7717,-23.5180,-23.5180
264.9318,-23.5846,-23.5846
265.0919,-23.6509,-23.6509
265.2520,-23.7170,-23.7170
265.4120,-23.7830,-23.7830
265.5721,-23.8487,-23.8487
265.7322,-23.9142,-23.9142
265.8923,-23.9796,-23.9796
266.0524,-24.0448,-24.0448
266.2124,-24.1098,-24.1098
266.3725,-24.1746,-24.1746
266.5326,-24.2393,-24.2393
266.6927,-24.3037,-24.3037
266.8528,-24.3680,-24.3680
267.0128,-24.4322,-24.4322
267.1729,-24.4961,-24.4961
267.3330,-24.5599,-24.5599
267.4931,-24.6236,-24.6236
267.6532,-24.6871,-24.6871
267.8132,-24.7504,-24.7504
267.9733,-24.8136,-24.8136
268.1334,-24.8766,-24.8766
268.2935,-24.9395,-24.9395
268.4535,-25.0023,-25.0023
268.6136,-25.0649,-25.0649
268.7737,-25.1273,-25.1273
268.9338,-25.1897,-25.1897
269.0939,-25.2518,-25.2518
269.2539,-25.3139,-25.3139
269.4140,-25.3758,-25.3758
269.5741,-25.4376,-25.4376
269.7342,-25.4993,-25.4993
269.8943,-25.5608,-25.5608
270.0543,-25.6223,-25.6223
270.2144,-25.6836,-25.6836
270.3745,-25.7448,-25.7448
270.5346,-25.8058,-25.8058
270.6947,-25.8668,-25.8668
270.8547,-25.9277,-25.9277
271.0148,-25.9884,-25.9884
271.1749,-26.0490,-26.0490
271.3350,-26.1096,-26.1096
271.4951,-26.1700,-26.1700
271.6551,-26.2303,-26.2303
271.8152,-26.2906,-26.2906
