step,rx_x_m,rx_y_m,rx_z_m,loss,power_db,ground_truth_power_db
2.100000000000000000e+01,4.043980598449707031e+00,9.802376627922058105e-01,1.500000000000000000e+00,4.537090301513671875e+01,-9.467419990841115407e+01,-9.545272361794536664e+01
2.200000000000000000e+01,4.219869136810302734e+00,8.090722560882568359e-01,1.500000000000000000e+00,4.189891433715820312e+01,-9.470002394951023916e+01,-9.545272361794536664e+01
2.300000000000000000e+01,4.393336296081542969e+00,6.409918069839477539e-01,1.500000000000000000e+00,3.861708831787109375e+01,-9.472531610920819389e+01,-9.545272361794536664e+01
2.400000000000000000e+01,4.564265251159667969e+00,4.761718213558197021e-01,1.500000000000000000e+00,3.552259063720703125e+01,-9.475006183020738604e+01,-9.545272361794536664e+01
2.500000000000000000e+01,4.732540607452392578e+00,3.147871196269989014e-01,1.500000000000000000e+00,3.261207962036132812e+01,-9.477425088194478064e+01,-9.545272361794536664e+01
2.600000000000000000e+01,4.898049831390380859e+00,1.570109724998474121e-01,1.500000000000000000e+00,2.988186645507812500e+01,-9.479787785884154516e+01,-9.545272361794536664e+01
2.700000000000000000e+01,5.060683250427246094e+00,3.014421323314309120e-03,1.500000000000000000e+00,2.732757568359375000e+01,-9.482093427086741144e+01,-9.545272361794536664e+01
2.800000000000000000e+01,5.220334529876708984e+00,-1.470346301794052124e-01,1.500000000000000000e+00,2.494465446472167969e+01,-9.484341912809851749e+01,-9.545272361794536664e+01
2.900000000000000000e+01,5.376901626586914062e+00,-2.929724156856536865e-01,1.500000000000000000e+00,2.272803306579589844e+01,-9.486532878984669992e+01,-9.545272361794536664e+01
3.000000000000000000e+01,5.530286312103271484e+00,-4.346401393413543701e-01,1.500000000000000000e+00,2.067225837707519531e+01,-9.488666023651722981e+01,-9.545272361794536664e+01
3.100000000000000000e+01,5.680396080017089844e+00,-5.718850493431091309e-01,1.500000000000000000e+00,1.877158546447753906e+01,-9.490741668083245486e+01,-9.545272361794536664e+01
3.200000000000000000e+01,5.827143192291259766e+00,-7.045612931251525879e-01,1.500000000000000000e+00,1.701992797851562500e+01,-9.492759496530196373e+01,-9.545272361794536664e+01
3.300000000000000000e+01,5.970445632934570312e+00,-8.325309753417968750e-01,1.500000000000000000e+00,1.541094398498535156e+01,-9.494719632768607198e+01,-9.545272361794536664e+01
3.400000000000000000e+01,6.110228061676025391e+00,-9.556651115417480469e-01,1.500000000000000000e+00,1.393807220458984375e+01,-9.496622271405007609e+01,-9.545272361794536664e+01
3.500000000000000000e+01,6.246421337127685547e+00,-1.073844552040100098e+00,1.500000000000000000e+00,1.259450721740722656e+01,-9.498467374741912295e+01,-9.545272361794536664e+01
3.600000000000000000e+01,6.378963947296142578e+00,-1.186960935592651367e+00,1.500000000000000000e+00,1.137336444854736328e+01,-9.500254934120725636e+01,-9.545272361794536664e+01
3.700000000000000000e+01,6.507801055908203125e+00,-1.294917345046997070e+00,1.500000000000000000e+00,1.026764583587646484e+01,-9.501985429538648020e+01,-9.545272361794536664e+01
3.800000000000000000e+01,6.632885932922363281e+00,-1.397629499435424805e+00,1.500000000000000000e+00,9.270196914672851562e+00,-9.503658685350029600e+01,-9.545272361794536664e+01
3.900000000000000000e+01,6.754179477691650391e+00,-1.495026111602783203e+00,1.500000000000000000e+00,8.374013900756835938e+00,-9.505275207290749506e+01,-9.545272361794536664e+01
4.000000000000000000e+01,6.871651172637939453e+00,-1.587049722671508789e+00,1.500000000000000000e+00,7.572024345397949219e+00,-9.506835148996447060e+01,-9.545272361794536664e+01
4.100000000000000000e+01,6.985279083251953125e+00,-1.673657178878784180e+00,1.500000000000000000e+00,6.857225418090820312e+00,-9.508338576718944068e+01,-9.545272361794536664e+01
4.200000000000000000e+01,7.095048904418945312e+00,-1.754819989204406738e+00,1.500000000000000000e+00,6.222811698913574219e+00,-9.509786129999898208e+01,-9.545272361794536664e+01
4.300000000000000000e+01,7.200955867767333984e+00,-1.830524921417236328e+00,1.500000000000000000e+00,5.662032604217529297e+00,-9.511178248122317314e+01,-9.545272361794536664e+01
4.400000000000000000e+01,7.303003787994384766e+00,-1.900773763656616211e+00,1.500000000000000000e+00,5.168431282043457031e+00,-9.512515440376800768e+01,-9.545272361794536664e+01
4.500000000000000000e+01,7.401204586029052734e+00,-1.965583920478820801e+00,1.500000000000000000e+00,4.735703945159912109e+00,-9.513798010687457918e+01,-9.545272361794536664e+01
4.600000000000000000e+01,7.495579242706298828e+00,-2.024987936019897461e+00,1.500000000000000000e+00,4.357852935791015625e+00,-9.515027119102086317e+01,-9.545272361794536664e+01
4.700000000000000000e+01,7.586157321929931641e+00,-2.079033374786376953e+00,1.500000000000000000e+00,4.029118061065673828e+00,-9.516203447373769109e+01,-9.545272361794536664e+01
4.800000000000000000e+01,7.672976493835449219e+00,-2.127782821655273438e+00,1.500000000000000000e+00,3.744100809097290039e+00,-9.517327508315855766e+01,-9.545272361794536664e+01
4.900000000000000000e+01,7.756082534790039062e+00,-2.171313285827636719e+00,1.500000000000000000e+00,3.497677326202392578e+00,-9.518400557230742720e+01,-9.545272361794536664e+01
5.000000000000000000e+01,7.835529327392578125e+00,-2.209715604782104492e+00,1.500000000000000000e+00,3.285117387771606445e+00,-9.519423483621322646e+01,-9.545272361794536664e+01
5.100000000000000000e+01,7.911378383636474609e+00,-2.243093729019165039e+00,1.500000000000000000e+00,3.101951599121093750e+00,-9.520397084975611790e+01,-9.545272361794536664e+01
5.200000000000000000e+01,7.983697414398193359e+00,-2.271564483642578125e+00,1.500000000000000000e+00,2.944139003753662109e+00,-9.521323105455557823e+01,-9.545272361794536664e+01
5.300000000000000000e+01,8.052561759948730469e+00,-2.295256137847900391e+00,1.500000000000000000e+00,2.807969093322753906e+00,-9.522202118107466617e+01,-9.545272361794536664e+01
5.400000000000000000e+01,8.118053436279296875e+00,-2.314308166503906250e+00,1.500000000000000000e+00,2.690052032470703125e+00,-9.523036164332020803e+01,-9.545272361794536664e+01
5.500000000000000000e+01,8.180258750915527344e+00,-2.328869581222534180e+00,1.500000000000000000e+00,2.587368488311767578e+00,-9.523826430890005668e+01,-9.545272361794536664e+01
5.600000000000000000e+01,8.239271163940429688e+00,-2.339098691940307617e+00,1.500000000000000000e+00,2.497218847274780273e+00,-9.524573764634149597e+01,-9.545272361794536664e+01
5.700000000000000000e+01,8.295187950134277344e+00,-2.345161914825439453e+00,1.500000000000000000e+00,2.417225599288940430e+00,-9.525279759281757208e+01,-9.545272361794536664e+01
5.800000000000000000e+01,8.348112106323242188e+00,-2.347232341766357422e+00,1.500000000000000000e+00,2.345309019088745117e+00,-9.525946153196797184e+01,-9.545272361794536664e+01
5.900000000000000000e+01,8.398148536682128906e+00,-2.345489025115966797e+00,1.500000000000000000e+00,2.279679298400878906e+00,-9.526574423569508099e+01,-9.545272361794536664e+01
6.000000000000000000e+01,8.445405960083007812e+00,-2.340116262435913086e+00,1.500000000000000000e+00,2.218792915344238281e+00,-9.527165580062396089e+01,-9.545272361794536664e+01
6.100000000000000000e+01,8.489996910095214844e+00,-2.331301689147949219e+00,1.500000000000000000e+00,2.161383152008056641e+00,-9.527721988826780830e+01,-9.545272361794536664e+01
6.200000000000000000e+01,8.532034873962402344e+00,-2.319236516952514648e+00,1.500000000000000000e+00,2.106383085250854492e+00,-9.528244084658530255e+01,-9.545272361794536664e+01
