phi,Ds_dB,Dh_dB
59.9005,-38.6745,-28.6089
60.2208,-38.5928,-28.5824
60.5412,-38.5111,-28.5557
60.8615,-38.4294,-28.5287
61.1818,-38.3476,-28.5016
61.5021,-38.2658,-28.4742
61.8224,-38.1839,-28.4466
62.1428,-38.1019,-28.4187
62.4631,-38.0199,-28.3906
62.7834,-37.9378,-28.3623
63.1037,-37.8556,-28.3337
63.4240,-37.7734,-28.3049
63.7443,-37.6911,-28.2759
64.0647,-37.6086,-28.2466
64.3850,-37.5261,-28.2171
64.7053,-37.4435,-28.1873
65.0256,-37.3608,-28.1573
65.3459,-37.2780,-28.1270
65.6663,-37.1951,-28.0964
65.9866,-37.1120,-28.0656
66.3069,-37.0288,-28.0346
66.6272,-36.9455,-28.0033
66.9475,-36.8621,-27.9717
67.2678,-36.7786,-27.9398
67.5882,-36.6949,-27.9077
67.9085,-36.6110,-27.8753
68.2288,-36.5270,-27.8426
68.5491,-36.4428,-27.8096
68.8694,-36.3585,-27.7764
69.1898,-36.2741,-27.7429
69.5101,-36.1894,-27.7090
69.8304,-36.1046,-27.6749
70.1507,-36.0196,-27.6405
70.4710,-35.9344,-27.6058
70.7913,-35.8490,-27.5709
71.1117,-35.7634,-27.5356
71.4320,-35.6776,-27.4999
71.7523,-35.5917,-27.4640
72.0726,-35.5055,-27.4278
72.3929,-35.4190,-27.3912
72.7133,-35.3324,-27.3544
73.0336,-35.2455,-27.3172
73.3539,-35.1584,-27.2797
73.6742,-35.0711,-27.2418
73.9945,-34.9835,-27.2036
74.3148,-34.8957,-27.1651
74.6352,-34.8076,-27.1262
74.9555,-34.7193,-27.0870
75.2758,-34.6306,-27.0474
75.5961,-34.5417,-27.0075
75.9164,-34.4526,-26.9672
76.2368,-34.3631,-26.9266
76.5571,-34.2734,-26.8856
76.8774,-34.1833,-26.8442
77.1977,-34.0930,-26.8024
77.5180,-34.0023,-26.7602
77.8384,-33.9113,-26.7177
78.1587,-33.8200,-26.6748
78.4790,-33.7284,-26.6314
78.7993,-33.6364,-26.5877
79.1196,-33.5441,-26.5435
79.4399,-33.4514,-26.4990
79.7603,-33.3583,-26.4540
80.0806,-33.2649,-26.4086
80.4009,-33.1712,-26.3628
80.7212,-33.0770,-26.3165
81.0415,-32.9825,-26.2698
81.3619,-32.8875,-26.2226
81.6822,-32.7922,-26.1750
82.0025,-32.6964,-26.1269
82.3228,-32.6002,-26.0783
82.6431,-32.5036,-26.0293
82.9634,-32.4065,-25.9798
83.2838,-32.3090,-25.9298
83.6041,-32.2111,-25.8793
83.9244,-32.1127,-25.8283
84.2447,-32.0138,-25.7767
84.5650,-31.9144,-25.7247
84.8854,-31.8145,-25.6721
85.2057,-31.7142,-25.6190
85.5260,-31.6133,-25.5654
85.8463,-31.5119,-25.5112
86.1666,-31.4099,-25.4564
86.4869,-31.3074,-25.4010
86.8073,-31.2044,-25.3451
87.1276,-31.1008,-25.2886
87.4479,-30.9966,-25.2315
87.7682,-30.8919,-25.1738
88.0885,-30.7865,-25.1154
88.4089,-30.6805,-25.0564
88.7292,-30.5739,-24.9968
89.0495,-30.4667,-24.9365
89.3698,-30.3588,-24.8756
89.6901,-30.2502,-24.8140
90.0104,-30.1410,-24.7516
90.3308,-30.0310,-24.6886
90.6511,-29.9204,-24.6249
90.9714,-29.8091,-24.5604
91.2917,-29.6970,-24.4952
91.6120,-29.5841,-24.4293
91.9324,-29.4705,-24.3625
92.2527,-29.3561,-24.2950
92.5730,-29.2409,-24.2267
92.8933,-29.1249,-24.1575
93.2136,-29.0081,-24.0876
93.5339,-28.8904,-24.0167
93.8543,-28.7718,-23.9450
94.1746,-28.6523,-23.8725
94.4949,-28.5319,-23.7990
94.8152,-28.4106,-23.7246
95.1355,-28.2884,-23.6492
95.4559,-28.1651,-23.5729
95.7762,-28.0409,-23.4956
96.0965,-27.9156,-23.4172
96.4168,-27.7893,-23.3379
96.7371,-27.6619,-23.2575
97.0575,-27.5334,-23.1760
97.3778,-27.4038,-23.0934
97.6981,-27.2731,-23.0097
98.0184,-27.1412,-22.9249
98.3387,-27.0080,-22.8388
98.6590,-26.8736,-22.7516
98.9794,-26.7380,-22.6631
99.2997,-26.6011,-22.5733
99.6200,-26.4628,-22.4822
99.9403,-26.3231,-22.3898
100.2606,-26.1821,-22.2960
100.5810,-26.0395,-22.2008
100.9013,-25.8956,-22.1041
101.2216,-25.7500,-22.0060
101.5419,-25.6030,-21.9063
101.8622,-25.4543,-21.8051
102.1825,-25.3039,-21.7022
102.5029,-25.1519,-21.5977
102.8232,-24.9980,-21.4915
103.1435,-24.8424,-21.3835
103.4638,-24.6849,-21.2737
103.7841,-24.5255,-21.1620
104.1045,-24.3642,-21.0485
104.4248,-24.2008,-20.9329
104.7451,-24.0353,-20.8153
105.0654,-23.8676,-20.6955
105.3857,-23.6976,-20.5736
105.7060,-23.5254,-20.4494
106.0264,-23.3508,-20.3229
106.3467,-23.1736,-20.1940
106.6670,-22.9940,-20.0626
106.9873,-22.8116,-19.9286
107.3076,-22.6265,-19.7919
107.6280,-22.4386,-19.6524
107.9483,-22.2477,-19.5100
108.2686,-22.0538,-19.3647
108.5889,-21.8566,-19.2162
108.9092,-21.6561,-19.0645
109.2295,-21.4522,-18.9094
109.5499,-21.2447,-18.7508
109.8702,-21.0335,-18.5885
110.1905,-20.8183,-18.4225
110.5108,-20.5991,-18.2524
110.8311,-20.3756,-18.0782
111.1515,-20.1477,-17.8996
111.4718,-19.9151,-17.7164
111.7921,-19.6776,-17.5285
112.1124,-19.4350,-17.3355
112.4327,-19.1870,-17.1372
112.7530,-18.9334,-16.9334
113.0734,-18.6738,-16.7237
113.3937,-18.4079,-16.5078
113.7140,-18.1354,-16.2854
114.0343,-17.8558,-16.0561
114.3546,-17.5689,-15.8195
114.6750,-17.2740,-15.5751
114.9953,-16.9708,-15.3224
115.3156,-16.6586,-15.0609
115.6359,-16.3370,-14.7901
115.9562,-16.0051,-14.5091
116.2765,-15.6623,-14.2173
116.5969,-15.3078,-13.9139
116.9172,-14.9406,-13.5980
117.2375,-14.5597,-13.2686
117.5578,-14.1640,-12.9244
117.8781,-13.7522,-12.5643
118.1985,-13.3228,-12.1866
118.5188,-12.8740,-11.7898
118.8391,-12.4040,-11.3719
119.1594,-11.9105,-10.9306
119.4797,-11.3907,-10.4632
119.8001,-10.8417,-9.9666
120.1204,-10.2596,-9.4372
120.4407,-9.6399,-8.8703
120.7610,-8.9773,-8.2606
121.0813,-8.2648,-7.6013
121.4016,-7.4942,-6.8839
121.7220,-6.6543,-6.0975
122.0423,-5.7311,-5.2280
122.3626,-4.7054,-4.2560
122.6829,-3.5506,-3.1552
123.0032,-2.2282,-1.8868
123.3236,-0.6793,-0.3922
123.6439,1.1927,1.4253
123.9642,3.5634,3.7414
124.2845,6.8072,6.9303
124.6048,11.9938,12.0620
124.9251,26.4754,26.4884
125.2455,16.1907,16.1482
125.5658,8.9678,8.8698
125.8861,5.1016,4.9478
126.2064,2.4518,2.2420
126.5267,0.4371,0.1710
126.8471,-1.1866,-1.5091
127.1674,-2.5451,-2.9242
127.4877,-3.7117,-4.1476
127.8080,-4.7330,-5.2259
128.1283,-5.6405,-6.1907
128.4486,-6.4564,-7.0641
128.7690,-7.1970,-7.8625
129.0893,-7.8746,-8.5980
129.4096,-8.4987,-9.2803
129.7299,-9.0768,-9.9169
130.0502,-9.6149,-10.5137
130.3706,-10.1180,-11.0757
130.6909,-10.5900,-11.6069
131.0112,-11.0345,-12.1108
131.3315,-11.4541,-12.5902
131.6518,-11.8515,-13.0475
131.9721,-12.2287,-13.4849
132.2925,-12.5875,-13.9042
132.6128,-12.9294,-14.3069
132.9331,-13.2559,-14.6945
133.2534,-13.5681,-15.0681
133.5737,-13.8672,-15.4289
133.8941,-14.1542,-15.7778
134.2144,-14.4298,-16.1156
134.5347,-14.6948,-16.4432
134.8550,-14.9500,-16.7612
135.1753,-15.1959,-17.0703
135.4956,-15.4332,-17.3711
135.8160,-15.6623,-17.6640
136.1363,-15.8837,-17.9496
136.4566,-16.0979,-18.2283
136.7769,-16.3052,-18.5004
137.0972,-16.5060,-18.7665
137.4176,-16.7007,-19.0267
137.7379,-16.8895,-19.2814
138.0582,-17.0728,-19.5309
138.3785,-17.2507,-19.7756
138.6988,-17.4237,-20.0155
139.0192,-17.5918,-20.2510
139.3395,-17.7553,-20.4823
139.6598,-17.9144,-20.7096
139.9801,-18.0693,-20.9331
140.3004,-18.2201,-21.1530
140.6207,-18.3671,-21.3694
140.9411,-18.5103,-21.5825
141.2614,-18.6500,-21.7924
141.5817,-18.7862,-21.9994
141.9020,-18.9191,-22.2035
142.2223,-19.0488,-22.4048
142.5427,-19.1754,-22.6035
142.8630,-19.2990,-22.7998
143.1833,-19.4198,-22.9936
143.5036,-19.5378,-23.1852
143.8239,-19.6531,-23.3746
144.1442,-19.7658,-23.5619
144.4646,-19.8761,-23.7472
144.7849,-19.9838,-23.9306
145.1052,-20.0892,-24.1122
145.4255,-20.1924,-24.2920
145.7458,-20.2933,-24.4702
146.0662,-20.3920,-24.6468
146.3865,-20.4887,-24.8219
146.7068,-20.5833,-24.9955
147.0271,-20.6759,-25.1678
147.3474,-20.7667,-25.3388
147.6677,-20.8555,-25.5085
147.9881,-20.9425,-25.6770
148.3084,-21.0278,-25.8444
148.6287,-21.1113,-26.0107
148.9490,-21.1931,-26.1761
149.2693,-21.2732,-26.3404
149.5897,-21.3518,-26.5039
149.9100,-21.4288,-26.6665
150.2303,-21.5042,-26.8284
150.5506,-21.5782,-26.9894
150.8709,-21.6507,-27.1498
151.1912,-21.7217,-27.3096
151.5116,-21.7914,-27.4687
151.8319,-21.8597,-27.6273
152.1522,-21.9266,-27.7854
152.4725,-21.9923,-27.9430
152.7928,-22.0566,-28.1003
153.1132,-22.1197,-28.2571
153.4335,-22.1816,-28.4136
153.7538,-22.2422,-28.5699
154.0741,-22.3017,-28.7260
154.3944,-22.3599,-28.8818
154.7147,-22.4171,-29.0375
155.0351,-22.4731,-29.1931
155.3554,-22.5280,-29.3487
155.6757,-22.5819,-29.5043
155.9960,-22.6346,-29.6599
156.3163,-22.6864,-29.8156
156.6367,-22.7370,-29.9714
156.9570,-22.7867,-30.1274
157.2773,-22.8354,-30.2836
157.5976,-22.8831,-30.4401
157.9179,-22.9299,-30.5969
158.2382,-22.9757,-30.7541
158.5586,-23.0206,-30.9117
158.8789,-23.0645,-31.0698
159.1992,-23.1076,-31.2284
159.5195,-23.1497,-31.3876
159.8398,-23.1910,-31.5474
160.1602,-23.2314,-31.7079
160.4805,-23.2709,-31.8692
160.8008,-23.3097,-32.0312
161.1211,-23.3475,-32.1941
161.4414,-23.3846,-32.3579
161.7618,-23.4208,-32.5227
162.0821,-23.4563,-32.6886
162.4024,-23.4909,-32.8556
162.7227,-23.5248,-33.0237
163.0430,-23.5579,-33.1932
163.3633,-23.5902,-33.3639
163.6837,-23.6218,-33.5361
164.0040,-23.6526,-33.7098
164.3243,-23.6827,-33.8850
164.6446,-23.7121,-34.0619
164.9649,-23.7407,-34.2406
165.2853,-23.7686,-34.4212
165.6056,-23.7958,-34.6037
165.9259,-23.8223,-34.7882
166.2462,-23.8482,-34.9750
166.5665,-23.8733,-35.1640
166.8868,-23.8977,-35.3555
167.2072,-23.9215,-35.5495
167.5275,-23.9446,-35.7461
167.8478,-23.9671,-35.9457
168.1681,-23.9888,-36.1482
168.4884,-24.0100,-36.3538
168.8088,-24.0305,-36.5628
169.1291,-24.0503,-36.7752
169.4494,-24.0695,-36.9914
169.7697,-24.0881,-37.2114
170.0900,-24.1060,-37.4356
170.4103,-24.1233,-37.6642
170.7307,-24.1400,-37.8974
171.0510,-24.1561,-38.1355
171.3713,-24.1715,-38.3788
171.6916,-24.1864,-38.6276
172.0119,-24.2006,-38.8823
172.3323,-24.2143,-39.1433
172.6526,-24.2273,-39.4109
172.9729,-24.2397,-39.6856
173.2932,-24.2516,-39.9679
173.6135,-24.2629,-40.2583
173.9338,-24.2735,-40.5574
174.2542,-24.2836,-40.8660
174.5745,-24.2931,-41.1845
174.8948,-24.3020,-41.5140
175.2151,-24.3104,-41.8553
175.5354,-24.3181,-42.2093
175.8558,-24.3253,-42.5772
176.1761,-24.3319,-42.9602
176.4964,-24.3380,-43.3599
176.8167,-24.3434,-43.7778
177.1370,-24.3483,-44.2158
177.4573,-24.3527,-44.6761
177.7777,-24.3564,-45.1614
178.0980,-24.3596,-45.6745
178.4183,-24.3623,-46.2191
178.7386,-24.3643,-46.7994
179.0589,-24.3658,-47.4208
179.3793,-24.3668,-48.0895
179.6996,-24.3671,-48.8137
180.0199,-24.3670,-49.6036
180.3402,-24.3662,-50.4725
180.6605,-24.3649,-51.4383
180.9808,-24.3630,-52.5255
181.3012,-24.3606,-53.7693
181.6215,-24.3576,-55.2227
181.9418,-24.3540,-56.9712
182.2621,-24.3499,-59.1658
182.5824,-24.3452,-62.1146
182.9028,-24.3399,-66.6229
183.2231,-24.3341,-76.5660
183.5434,-24.3277,-75.3812
183.8637,-24.3207,-66.2029
184.1840,-24.3132,-61.8319
184.5044,-24.3051,-58.9310
184.8247,-24.2964,-56.7545
185.1450,-24.2871,-55.0105
185.4653,-24.2773,-53.5542
185.7856,-24.2669,-52.3032
186.1059,-24.2559,-51.2060
186.4263,-24.2443,-50.2282
186.7466,-24.2321,-49.3458
187.0669,-24.2194,-48.5414
187.3872,-24.2060,-47.8019
187.7075,-24.1921,-47.1173
188.0279,-24.1775,-46.4795
188.3482,-24.1624,-45.8823
188.6685,-24.1466,-45.3204
188.9888,-24.1303,-44.7898
189.3091,-24.1133,-44.2867
189.6294,-24.0958,-43.8084
189.9498,-24.0776,-43.3521
190.2701,-24.0588,-42.9158
190.5904,-24.0394,-42.4975
190.9107,-24.0193,-42.0956
191.2310,-23.9986,-41.7088
191.5514,-23.9773,-41.3357
191.8717,-23.9553,-40.9752
192.1920,-23.9327,-40.6264
192.5123,-23.9094,-40.2883
192.8326,-23.8854,-39.9601
193.1529,-23.8608,-39.6412
193.4733,-23.8356,-39.3309
193.7936,-23.8096,-39.0286
194.1139,-23.7830,-38.7337
194.4342,-23.7557,-38.4458
194.7545,-23.7277,-38.1645
195.0749,-23.6989,-37.8892
195.3952,-23.6695,-37.6197
195.7155,-23.6394,-37.3556
196.0358,-23.6085,-37.0965
196.3561,-23.5769,-36.8422
196.6764,-23.5446,-36.5924
196.9968,-23.5115,-36.3468
197.3171,-23.4777,-36.1051
197.6374,-23.4431,-35.8673
197.9577,-23.4077,-35.6329
198.2780,-23.3715,-35.4019
198.5984,-23.3346,-35.1741
198.9187,-23.2968,-34.9492
199.2390,-23.2582,-34.7271
199.5593,-23.2188,-34.5077
199.8796,-23.1786,-34.2908
200.1999,-23.1375,-34.0762
200.5203,-23.0956,-33.8638
200.8406,-23.0528,-33.6536
201.1609,-23.0091,-33.4453
201.4812,-22.9645,-33.2388
201.8015,-22.9190,-33.0341
202.1219,-22.8726,-32.8310
202.4422,-22.8252,-32.6295
202.7625,-22.7769,-32.4294
203.0828,-22.7276,-32.2306
203.4031,-22.6773,-32.0330
203.7235,-22.6261,-31.8366
204.0438,-22.5738,-31.6412
204.3641,-22.5205,-31.4469
204.6844,-22.4661,-31.2534
205.0047,-22.4106,-31.0607
205.3250,-22.3541,-30.8688
205.6454,-22.2964,-30.6775
205.9657,-22.2376,-30.4869
206.2860,-22.1777,-30.2967
206.6063,-22.1166,-30.1070
206.9266,-22.0543,-29.9177
207.2470,-21.9907,-29.7286
207.5673,-21.9259,-29.5399
207.8876,-21.8599,-29.3512
208.2079,-21.7925,-29.1627
208.5282,-21.7238,-28.9743
208.8485,-21.6537,-28.7858
209.1689,-21.5823,-28.5972
209.4892,-21.5094,-28.4084
209.8095,-21.4351,-28.2194
210.1298,-21.3593,-28.0302
210.4501,-21.2820,-27.8405
210.7705,-21.2031,-27.6505
211.0908,-21.1226,-27.4600
211.4111,-21.0405,-27.2689
211.7314,-20.9567,-27.0772
212.0517,-20.8712,-26.8848
212.3720,-20.7839,-26.6916
212.6924,-20.6948,-26.4976
213.0127,-20.6039,-26.3027
213.3330,-20.5110,-26.1068
213.6533,-20.4161,-25.9098
213.9736,-20.3193,-25.7117
214.2940,-20.2203,-25.5124
