phi,Ds_dB,Dh_dB
262.9823,-27.9884,-22.1973
263.3027,-28.1263,-22.2681
263.6230,-28.2632,-22.3379
263.9433,-28.3992,-22.4065
264.2636,-28.5343,-22.4742
264.5839,-28.6685,-22.5409
264.9042,-28.8019,-22.6065
265.2246,-28.9345,-22.6712
265.5449,-29.0663,-22.7350
265.8652,-29.1974,-22.7979
266.1855,-29.3277,-22.8598
266.5058,-29.4573,-22.9209
266.8262,-29.5862,-22.9811
267.1465,-29.7144,-23.0404
267.4668,-29.8419,-23.0989
267.7871,-29.9689,-23.1566
268.1074,-30.0952,-23.2135
268.4278,-30.2210,-23.2697
268.7481,-30.3461,-23.3250
269.0684,-30.4707,-23.3796
269.3887,-30.5948,-23.4334
269.7090,-30.7184,-23.4865
270.0293,-30.8415,-23.5389
270.3497,-30.9641,-23.5906
270.6700,-31.0862,-23.6416
270.9903,-31.2079,-23.6919
271.3106,-31.3292,-23.7415
271.6309,-31.4500,-23.7905
271.9513,-31.5705,-23.8389
272.2716,-31.6906,-23.8866
272.5919,-31.8103,-23.9336
272.9122,-31.9297,-23.9801
273.2325,-32.0487,-24.0259
273.5528,-32.1675,-24.0712
273.8732,-32.2859,-24.1159
274.1935,-32.4041,-24.1599
274.5138,-32.5220,-24.2035
274.8341,-32.6396,-24.2464
275.1544,-32.7570,-24.2888
275.4748,-32.8742,-24.3307
275.7951,-32.9912,-24.3720
276.1154,-33.1080,-24.4128
276.4357,-33.2246,-24.4531
276.7560,-33.3411,-24.4928
277.0763,-33.4574,-24.5321
277.3967,-33.5736,-24.5708
277.7170,-33.6897,-24.6091
278.0373,-33.8056,-24.6469
278.3576,-33.9215,-24.6842
278.6779,-34.0373,-24.7210
278.9983,-34.1531,-24.7573
279.3186,-34.2688,-24.7932
279.6389,-34.3844,-24.8287
279.9592,-34.5001,-24.8637
280.2795,-34.6158,-24.8982
280.5998,-34.7315,-24.9323
280.9202,-34.8472,-24.9660
281.2405,-34.9629,-24.9992
281.5608,-35.0787,-25.0321
281.8811,-35.1946,-25.0645
282.2014,-35.3106,-25.0965
282.5218,-35.4267,-25.1280
282.8421,-35.5430,-25.1592
283.1624,-35.6593,-25.1900
283.4827,-35.7759,-25.2204
283.8030,-35.8926,-25.2504
284.1233,-36.0095,-25.2800
284.4437,-36.1265,-25.3092
284.7640,-36.2439,-25.3381
285.0843,-36.3614,-25.3666
285.4046,-36.4793,-25.3947
285.7249,-36.5973,-25.4224
286.0453,-36.7157,-25.4498
286.3656,-36.8344,-25.4769
286.6859,-36.9535,-25.5035
287.0062,-37.0729,-25.5299
287.3265,-37.1926,-25.5558
287.6468,-37.3128,-25.5815
287.9672,-37.4334,-25.6068
288.2875,-37.5543,-25.6317
288.6078,-37.6758,-25.6563
288.9281,-37.7977,-25.6806
289.2484,-37.9201,-25.7046
289.5688,-38.0431,-25.7282
289.8891,-38.1665,-25.7515
290.2094,-38.2906,-25.7745
290.5297,-38.4152,-25.7972
290.8500,-38.5405,-25.8196
291.1704,-38.6664,-25.8416
291.4907,-38.7929,-25.8634
291.8110,-38.9202,-25.8848
292.1313,-39.0482,-25.9059
292.4516,-39.1769,-25.9268
292.7719,-39.3064,-25.9473
293.0923,-39.4367,-25.9675
293.4126,-39.5679,-25.9875
293.7329,-39.6999,-26.0071
294.0532,-39.8329,-26.0265
294.3735,-39.9668,-26.0456
294.6939,-40.1017,-26.0644
295.0142,-40.2375,-26.0829
295.3345,-40.3745,-26.1011
295.6548,-40.5125,-26.1190
295.9751,-40.6517,-26.1367
296.2954,-40.7920,-26.1541
296.6158,-40.9336,-26.1712
296.9361,-41.0764,-26.1881
297.2564,-41.2206,-26.2046
297.5767,-41.3661,-26.2209
297.8970,-41.5130,-26.2370
298.2174,-41.6614,-26.2528
298.5377,-41.8113,-26.2683
298.8580,-41.9629,-26.2835
299.1783,-42.1160,-26.2985
299.4986,-42.2709,-26.3132
299.8189,-42.4275,-26.3277
300.1393,-42.5860,-26.3419
300.4596,-42.7464,-26.3559
300.7799,-42.9088,-26.3696
301.1002,-43.0732,-26.3831
301.4205,-43.2398,-26.3963
301.7409,-43.4087,-26.4093
302.0612,-43.5799,-26.4220
302.3815,-43.7535,-26.4344
302.7018,-43.9297,-26.4467
303.0221,-44.1085,-26.4586
303.3424,-44.2901,-26.4704
303.6628,-44.4746,-26.4819
303.9831,-44.6621,-26.4931
304.3034,-44.8527,-26.5041
304.6237,-45.0466,-26.5149
304.9440,-45.2440,-26.5255
305.2644,-45.4450,-26.5358
305.5847,-45.6498,-26.5458
305.9050,-45.8585,-26.5557
306.2253,-46.0714,-26.5653
306.5456,-46.2887,-26.5746
306.8659,-46.5106,-26.5838
307.1863,-46.7373,-26.5927
307.5066,-46.9692,-26.6013
307.8269,-47.2064,-26.6098
308.1472,-47.4494,-26.6180
308.4675,-47.6984,-26.6260
308.7879,-47.9537,-26.6337
309.1082,-48.2159,-26.6413
309.4285,-48.4853,-26.6486
309.7488,-48.7623,-26.6557
310.0691,-49.0475,-26.6625
310.3895,-49.3415,-26.6692
310.7098,-49.6448,-26.6756
311.0301,-49.9581,-26.6818
311.3504,-50.2822,-26.6877
311.6707,-50.6179,-26.6935
311.9910,-50.9662,-26.6990
312.3114,-51.3280,-26.7043
312.6317,-51.7047,-26.7094
312.9520,-52.0975,-26.7143
313.2723,-52.5079,-26.7189
313.5926,-52.9377,-26.7233
313.9130,-53.3890,-26.7275
314.2333,-53.8641,-26.7315
314.5536,-54.3657,-26.7353
314.8739,-54.8971,-26.7389
315.1942,-55.4622,-26.7422
315.5145,-56.0656,-26.7453
315.8349,-56.7132,-26.7482
316.1552,-57.4120,-26.7509
316.4755,-58.1710,-26.7534
316.7958,-59.0017,-26.7556
317.1161,-59.9194,-26.7577
317.4365,-60.9446,-26.7595
317.7568,-62.1062,-26.7611
318.0771,-63.4464,-26.7625
318.3974,-65.0307,-26.7637
318.7177,-66.9689,-26.7647
319.0380,-69.4665,-26.7654
319.3584,-72.9845,-26.7660
319.6787,-78.9921,-26.7663
319.9990,-129.1309,-26.7664
