step,power_db,alpha_deg,beta_deg,gamma_deg
1.410000000000000000e+02,-9.170151009994393121e+01,5.440915265353396535e-05,2.225900888442993164e-01,3.149717748165130615e-01
1.420000000000000000e+02,-9.170149547484942332e+01,5.608288483927026391e-05,2.249403148889541626e-01,3.178665935993194580e-01
1.430000000000000000e+02,-9.170148013638859652e+01,5.779464845545589924e-05,2.272988408803939819e-01,3.207634687423706055e-01
1.440000000000000000e+02,-9.170146515468846360e+01,5.954495645710267127e-05,2.296656370162963867e-01,3.236622810363769531e-01
1.450000000000000000e+02,-9.170145052974532973e+01,6.133426359156146646e-05,2.320406436920166016e-01,3.265629708766937256e-01
1.460000000000000000e+02,-9.170143697496393997e+01,6.316319195320829749e-05,2.344238758087158203e-01,3.294654786586761475e-01
1.470000000000000000e+02,-9.170142092330387129e+01,6.503218173747882247e-05,2.368152886629104614e-01,3.323696255683898926e-01
1.480000000000000000e+02,-9.170140629850968139e+01,6.694190233247354627e-05,2.392148822546005249e-01,3.352754116058349609e-01
1.490000000000000000e+02,-9.170139131706423541e+01,6.889286305522546172e-05,2.416225671768188477e-01,3.381826877593994141e-01
1.500000000000000000e+02,-9.170137633567050273e+01,7.088566053425893188e-05,2.440383732318878174e-01,3.410914242267608643e-01
1.510000000000000000e+02,-9.170136171102646472e+01,7.292082591447979212e-05,2.464622408151626587e-01,3.440014719963073730e-01
1.520000000000000000e+02,-9.170134815652230031e+01,7.499886851292103529e-05,2.488941550254821777e-01,3.469128012657165527e-01
1.530000000000000000e+02,-9.170133317527742634e+01,7.712031219853088260e-05,2.513341009616851807e-01,3.498253226280212402e-01
1.540000000000000000e+02,-9.170131819408423723e+01,7.928573904791846871e-05,2.537820339202880859e-01,3.527389466762542725e-01
1.550000000000000000e+02,-9.170130321294273301e+01,8.149576751748099923e-05,2.562379539012908936e-01,3.556535542011260986e-01
1.560000000000000000e+02,-9.170128930192903738e+01,8.375098695978522301e-05,2.587018013000488281e-01,3.585691154003143311e-01
1.570000000000000000e+02,-9.170127360750554146e+01,8.605183393228799105e-05,2.611735761165618896e-01,3.614855408668518066e-01
1.580000000000000000e+02,-9.170125826982827277e+01,8.839892689138650894e-05,2.636532485485076904e-01,3.644027113914489746e-01
1.590000000000000000e+02,-9.170124471564696478e+01,9.079291339730843902e-05,2.661407589912414551e-01,3.673205971717834473e-01
1.600000000000000000e+02,-9.170123080482063926e+01,9.323432459495961666e-05,2.686361372470855713e-01,3.702390789985656738e-01
1.610000000000000000e+02,-9.170121439723659762e+01,9.572370618116110563e-05,2.711393535137176514e-01,3.731580972671508789e-01
1.620000000000000000e+02,-9.170120012982260960e+01,9.826162568060681224e-05,2.736503481864929199e-01,3.760775923728942871e-01
1.630000000000000000e+02,-9.170118443572135902e+01,1.008487670333124697e-04,2.761690914630889893e-01,3.789974749088287354e-01
1.640000000000000000e+02,-9.170117052508811639e+01,1.034856395563110709e-04,2.786956131458282471e-01,3.819176554679870605e-01
1.650000000000000000e+02,-9.170115518777490138e+01,1.061728253262117505e-04,2.812298536300659180e-01,3.848381042480468750e-01
1.660000000000000000e+02,-9.170114092055541732e+01,1.089109500753693283e-04,2.837717831134796143e-01,3.877587020397186279e-01
1.670000000000000000e+02,-9.170112629670410342e+01,1.117006322601810098e-04,2.863213717937469482e-01,3.906793892383575439e-01
1.680000000000000000e+02,-9.170111167290201593e+01,1.145422720583155751e-04,2.888786494731903076e-01,3.936000764369964600e-01
1.690000000000000000e+02,-9.170109669247290185e+01,1.174364297185093164e-04,2.914435565471649170e-01,3.965207338333129883e-01
1.700000000000000000e+02,-9.170108171209545844e+01,1.203839128720574081e-04,2.940160334110260010e-01,3.994412720203399658e-01
