x,magnitude,phase
3.376980e-03,9.833510e-02,4.241289e+01
3.408259e-03,9.876831e-02,4.240125e+01
3.439826e-03,9.920333e-02,4.238957e+01
3.471687e-03,9.964016e-02,4.237783e+01
3.503842e-03,1.000788e-01,4.236604e+01
3.536296e-03,1.005193e-01,4.235420e+01
3.569049e-03,1.009616e-01,4.234231e+01
3.602107e-03,1.014058e-01,4.233037e+01
3.635470e-03,1.018518e-01,4.231837e+01
3.669142e-03,1.022997e-01,4.230633e+01
3.703127e-03,1.027495e-01,4.229423e+01
3.737426e-03,1.032011e-01,4.228207e+01
3.772042e-03,1.036546e-01,4.226987e+01
3.806980e-03,1.041099e-01,4.225761e+01
3.842241e-03,1.045672e-01,4.224530e+01
3.877828e-03,1.050264e-01,4.223293e+01
3.913746e-03,1.054874e-01,4.222051e+01
3.949995e-03,1.059504e-01,4.220804e+01
3.986581e-03,1.064153e-01,4.219551e+01
4.023506e-03,1.068822e-01,4.218293e+01
4.060772e-03,1.073509e-01,4.217029e+01
4.098384e-03,1.078216e-01,4.215760e+01
4.136344e-03,1.082943e-01,4.214485e+01
4.174655e-03,1.087689e-01,4.213205e+01
4.213322e-03,1.092454e-01,4.211919e+01
4.252346e-03,1.097240e-01,4.210628e+01
4.291732e-03,1.102045e-01,4.209331e+01
4.331483e-03,1.106870e-01,4.208028e+01
4.371602e-03,1.111714e-01,4.206720e+01
4.412093e-03,1.116579e-01,4.205406e+01
4.452959e-03,1.121464e-01,4.204086e+01
4.494203e-03,1.126369e-01,4.202761e+01
4.535829e-03,1.131294e-01,4.201430e+01
4.577841e-03,1.136239e-01,4.200093e+01
4.620241e-03,1.141204e-01,4.198750e+01
4.663035e-03,1.146190e-01,4.197402e+01
4.706225e-03,1.151197e-01,4.196047e+01
4.749815e-03,1.156224e-01,4.194687e+01
4.793808e-03,1.161271e-01,4.193321e+01
4.838210e-03,1.166339e-01,4.191949e+01
4.883022e-03,1.171428e-01,4.190571e+01
4.928250e-03,1.176538e-01,4.189188e+01
4.973896e-03,1.181669e-01,4.187798e+01
5.019965e-03,1.186820e-01,4.186402e+01
5.066461e-03,1.191993e-01,4.185000e+01
5.113388e-03,1.197187e-01,4.183592e+01
5.160749e-03,1.202402e-01,4.182178e+01
5.208549e-03,1.207638e-01,4.180758e+01
5.256791e-03,1.212895e-01,4.179332e+01
5.305481e-03,1.218174e-01,4.177900e+01
5.354621e-03,1.223475e-01,4.176461e+01
5.404216e-03,1.228797e-01,4.175017e+01
5.454271e-03,1.234140e-01,4.173566e+01
5.504790e-03,1.239505e-01,4.172109e+01
5.555776e-03,1.244892e-01,4.170645e+01
5.607235e-03,1.250301e-01,4.169176e+01
5.659170e-03,1.255732e-01,4.167700e+01
5.711586e-03,1.261185e-01,4.166217e+01
5.764488e-03,1.266659e-01,4.164729e+01
5.817880e-03,1.272156e-01,4.163234e+01
5.871766e-03,1.277675e-01,4.161732e+01
5.926152e-03,1.283217e-01,4.160224e+01
5.981041e-03,1.288781e-01,4.158710e+01
6.036439e-03,1.294367e-01,4.157189e+01
6.092349e-03,1.299976e-01,4.155662e+01
6.148778e-03,1.305607e-01,4.154128e+01
6.205729e-03,1.311261e-01,4.152587e+01
6.263207e-03,1.316937e-01,4.151040e+01
6.321218e-03,1.322637e-01,4.149486e+01
6.379767e-03,1.328359e-01,4.147926e+01
6.438857e-03,1.334105e-01,4.146359e+01
6.498495e-03,1.339873e-01,4.144785e+01
6.558686e-03,1.345665e-01,4.143205e+01
6.619433e-03,1.351479e-01,4.141617e+01
6.680744e-03,1.357317e-01,4.140023e+01
6.742622e-03,1.363179e-01,4.138423e+01
6.805074e-03,1.369063e-01,4.136815e+01
6.868104e-03,1.374971e-01,4.135200e+01
6.931717e-03,1.380903e-01,4.133579e+01
6.995920e-03,1.386859e-01,4.131951e+01
7.060718e-03,1.392838e-01,4.130316e+01
7.126115e-03,1.398841e-01,4.128673e+01
7.192119e-03,1.404867e-01,4.127024e+01
7.258734e-03,1.410918e-01,4.125368e+01
7.325965e-03,1.416993e-01,4.123705e+01
7.393820e-03,1.423092e-01,4.122035e+01
7.462303e-03,1.429215e-01,4.120357e+01
7.531420e-03,1.435362e-01,4.118673e+01
7.601178e-03,1.441534e-01,4.116981e+01
7.671581e-03,1.447730e-01,4.115282e+01
7.742637e-03,1.453950e-01,4.113576e+01
7.814351e-03,1.460195e-01,4.111863e+01
7.886729e-03,1.466465e-01,4.110143e+01
7.959777e-03,1.472760e-01,4.108415e+01
