col row val
0 0 0.000000
1 0 0.000000
2 0 0.000001
3 0 0.000204
4 0 0.000000
5 0 0.000000
6 0 0.085306
7 0 0.055503
8 0 0.000000
9 0 0.000000
10 0 0.000000
11 0 0.000001
12 0 0.000001
13 0 0.000001
14 0 0.000011
15 0 0.000088
16 0 0.000000
17 0 0.000000
18 0 0.032557
19 0 0.268128
20 0 0.000001
21 0 0.000000
22 0 0.000000
23 0 0.000004
24 0 0.000000
25 0 0.000000
26 0 0.036471
27 0 0.190852
28 0 0.000000
29 0 0.000000
30 0 0.000000
31 0 0.000000
32 0 0.000001
33 0 0.000001
34 0 0.000000
35 0 0.000000
36 0 0.000000
37 0 0.000000
38 0 0.000007
39 0 0.000091
40 0 0.000000
41 0 0.000000
42 0 0.000000
43 0 0.000000
44 0 0.000001
45 0 0.000000
46 0 0.000005
47 0 0.000010
48 0 0.000000
49 0 0.000000
50 0 0.017691
51 0 0.005624
52 0 0.000000
53 0 0.000000
54 0 0.000000
55 0 0.000001
56 0 0.000000
57 0 0.000000
58 0 0.000000
59 0 0.000000
60 0 0.307097
61 0 0.000341

0 1 0.000000
1 1 0.000000
2 1 0.000001
3 1 0.000204
4 1 0.000000
5 1 0.000000
6 1 0.085306
7 1 0.055503
8 1 0.000000
9 1 0.000000
10 1 0.000000
11 1 0.000001
12 1 0.000001
13 1 0.000001
14 1 0.000011
15 1 0.000088
16 1 0.000000
17 1 0.000000
18 1 0.032557
19 1 0.268128
20 1 0.000001
21 1 0.000000
22 1 0.000000
23 1 0.000004
24 1 0.000000
25 1 0.000000
26 1 0.036471
27 1 0.190852
28 1 0.000000
29 1 0.000000
30 1 0.000000
31 1 0.000000
32 1 0.000001
33 1 0.000001
34 1 0.000000
35 1 0.000000
36 1 0.000000
37 1 0.000000
38 1 0.000007
39 1 0.000091
40 1 0.000000
41 1 0.000000
42 1 0.000000
43 1 0.000000
44 1 0.000001
45 1 0.000000
46 1 0.000005
47 1 0.000010
48 1 0.000000
49 1 0.000000
50 1 0.017691
51 1 0.005624
52 1 0.000000
53 1 0.000000
54 1 0.000000
55 1 0.000001
56 1 0.000000
57 1 0.000000
58 1 0.000000
59 1 0.000000
60 1 0.307097
61 1 0.000341
