col row val
0 0 -0.075882
1 0 0.042940
2 0 0.017605
3 0 -0.117210
4 0 0.164769
5 0 -0.032940
6 0 -0.105176
7 0 -0.307242
8 0 -0.111637
9 0 -0.001010
10 0 0.024041
11 0 0.031043
12 0 0.011923
13 0 0.053732
14 0 -0.171179
15 0 0.050621
16 0 0.157177
17 0 -0.012522
18 0 -0.008548
19 0 -0.006669
20 0 0.016878
21 0 -0.077763
22 0 0.065346
23 0 0.067088
24 0 0.074414
25 0 0.126621
26 0 0.025917
27 0 -0.206005
28 0 -0.083206
29 0 0.108717
30 0 -0.138851
31 0 0.033463
32 0 -0.083832
33 0 -0.170777
34 0 -0.033032
35 0 -0.156038
36 0 -0.058913
37 0 -0.205795
38 0 0.090546
39 0 -0.095168
40 0 -0.091511
41 0 0.099435
42 0 0.147766
43 0 0.247145
44 0 0.059156
45 0 -0.112708
46 0 0.110658
47 0 0.163140
48 0 0.177780
49 0 -0.101310
50 0 -0.091307
51 0 -0.000974
52 0 0.261634
53 0 0.013726
54 0 0.076660
55 0 0.226668
56 0 0.079593
57 0 -0.010159
58 0 -0.148111
59 0 -0.002594
60 0 -0.091253
61 0 0.000992
62 0 -0.009482
63 0 -0.059956
64 0 -0.134293
65 0 -0.037328
66 0 0.087469
67 0 0.129578
68 0 -0.102543
69 0 0.229012
70 0 0.015550
71 0 0.079414
72 0 -0.199283
73 0 0.040875
74 0 -0.060760
75 0 0.158708
76 0 0.221911
77 0 -0.177391
78 0 0.001581
79 0 0.010521
80 0 0.074510
81 0 0.023124
82 0 -0.090121
83 0 0.042342
84 0 0.173907
85 0 -0.104736
86 0 0.163256
87 0 0.128594
88 0 0.012371
89 0 -0.008119
90 0 -0.095903
91 0 -0.194058
92 0 0.045747
93 0 0.158015
94 0 -0.071826
95 0 -0.092380
96 0 0.026434
97 0 0.076136
98 0 -0.036441
99 0 -0.057481
100 0 0.059669
101 0 -0.040353
102 0 0.127711
103 0 -0.131168
104 0 -0.008713
105 0 0.193137
106 0 0.007765
107 0 0.002171
108 0 -0.054473
109 0 -0.023973
110 0 0.022295
111 0 0.046437
112 0 -0.055926
113 0 0.047958
114 0 0.024988
115 0 -0.157600
116 0 0.183241
117 0 0.049315
118 0 -0.195344
119 0 0.148402
120 0 -0.084351
121 0 -0.095053
122 0 -0.088693
123 0 0.014995
124 0 0.113190
125 0 -0.223939
126 0 0.066545
127 0 -0.079950

0 1 0.008087
1 1 0.091420
2 1 0.027270
3 1 -0.105608
4 1 0.178642
5 1 0.010336
6 1 -0.189592
7 1 -0.298779
8 1 -0.054130
9 1 -0.057360
10 1 0.092423
11 1 -0.022522
12 1 0.011240
13 1 0.044956
14 1 -0.180056
15 1 0.095553
16 1 0.144087
17 1 0.042619
18 1 0.017806
19 1 -0.033904
20 1 -0.037704
21 1 -0.034850
22 1 0.018442
23 1 0.092452
24 1 0.010789
25 1 0.126538
26 1 0.003429
27 1 -0.146674
28 1 -0.041416
29 1 0.149091
30 1 -0.044945
31 1 0.098389
32 1 -0.039863
33 1 -0.160454
34 1 0.012256
35 1 -0.098982
36 1 -0.096575
37 1 -0.170465
38 1 0.071697
39 1 -0.071279
40 1 -0.135271
41 1 0.112747
42 1 0.104211
43 1 0.225741
44 1 0.033608
45 1 -0.089925
46 1 0.108041
47 1 0.152934
48 1 0.247146
49 1 -0.080585
50 1 -0.093065
51 1 -0.064350
52 1 0.199997
53 1 0.016336
54 1 0.095782
55 1 0.245562
56 1 0.111295
57 1 -0.022317
58 1 -0.206744
59 1 0.023626
60 1 -0.091427
61 1 -0.028938
62 1 -0.023846
63 1 -0.064145
64 1 -0.151777
65 1 0.024926
66 1 0.029431
67 1 0.117132
68 1 -0.086004
69 1 0.207353
70 1 0.036007
71 1 0.085391
72 1 -0.176258
73 1 0.063530
74 1 0.009062
75 1 0.203180
76 1 0.163537
77 1 -0.132499
78 1 0.005131
79 1 0.043256
80 1 0.053955
81 1 0.042942
82 1 -0.035402
83 1 -0.006921
84 1 0.181972
85 1 -0.086846
86 1 0.131752
87 1 0.090843
88 1 0.000883
89 1 -0.026139
90 1 -0.188734
91 1 -0.115700
92 1 0.068650
93 1 0.088105
94 1 -0.073346
95 1 -0.087964
96 1 0.054276
97 1 0.055513
98 1 -0.036696
99 1 -0.123302
100 1 0.052709
101 1 -0.082335
102 1 0.048189
103 1 -0.099558
104 1 -0.031345
105 1 0.191757
106 1 0.035843
107 1 0.088439
108 1 0.018729
109 1 0.017212
110 1 -0.006768
111 1 0.022467
112 1 -0.028831
113 1 0.043783
114 1 0.033454
115 1 -0.091975
116 1 0.127755
117 1 0.026045
118 1 -0.208672
119 1 0.131711
120 1 -0.058557
121 1 -0.020487
122 1 -0.140077
123 1 0.028629
124 1 0.164645
125 1 -0.211542
126 1 0.039972
127 1 0.038589
