col row val
0 0 -0.413846
1 0 -0.006938
2 0 -0.305753
3 0 0.156696
4 0 0.523691
5 0 -0.221136
6 0 0.039966
7 0 0.197616
8 0 -1.068061
9 0 -0.327640
10 0 0.250475
11 0 -0.012974
12 0 -0.300347
13 0 -0.028042
14 0 0.189486
15 0 -0.162867
16 0 -0.145338
17 0 0.022896
18 0 -0.220190
19 0 -0.311235
20 0 0.320167
21 0 -0.250297
22 0 0.209308
23 0 0.117758
24 0 0.316101
25 0 -0.285455
26 0 0.410035
27 0 0.130733
28 0 0.944157
29 0 -0.103037
30 0 -0.271882
31 0 0.105349
32 0 0.030272
33 0 -0.572741
34 0 -0.054548
35 0 0.163040
36 0 -0.017522
37 0 0.045447
38 0 -0.161140
39 0 0.074794
40 0 0.068946
41 0 0.177474
42 0 0.368219
43 0 0.041674
44 0 0.013991
45 0 -0.050575
46 0 -0.024919
47 0 -0.171733
48 0 -0.290007
49 0 0.245547
50 0 0.088438
51 0 -0.438165
52 0 0.095770
53 0 -0.257134
54 0 0.357767
55 0 -0.170045
56 0 0.206927
57 0 -0.420596
58 0 -0.269442
59 0 0.163821
60 0 0.005588
61 0 0.300411
62 0 0.115738
63 0 0.244219
64 0 0.152940
65 0 -0.001394
66 0 -0.157220
67 0 0.012562
68 0 0.329661
69 0 0.613581
70 0 -0.167446
71 0 0.428270
72 0 0.395925
73 0 -0.330081
74 0 0.145519
75 0 -0.331302
76 0 -0.326054
77 0 0.007916
78 0 0.089506
79 0 0.113090
80 0 -0.009425
81 0 0.103476
82 0 -0.593115
83 0 0.477030
84 0 0.373502
85 0 0.301722
86 0 0.249972
87 0 -0.013415
88 0 -0.061346
89 0 -0.212917
90 0 -0.077622
91 0 -0.244694
92 0 0.303136
93 0 -0.085304
94 0 0.278760
95 0 0.638022
96 0 0.486339
97 0 -0.263471
98 0 0.004384
99 0 0.270746
100 0 -0.124269
101 0 -0.184260
102 0 0.116759
103 0 -0.199226
104 0 0.117948
105 0 0.099877
106 0 -0.382979
107 0 -0.224096
108 0 -0.006063
109 0 -0.470314
110 0 -0.290466
111 0 -0.180308
112 0 -0.388852
113 0 -0.163063
114 0 -0.075191
115 0 -0.249789
116 0 0.127177
117 0 -0.309602
118 0 0.425383
119 0 0.705127
120 0 0.367874
121 0 -0.012687
122 0 0.216622
123 0 -0.332249
124 0 -0.246012
125 0 -0.473712
126 0 -0.446282
127 0 -0.182442

0 1 -0.474161
1 1 -0.096989
2 1 -0.409488
3 1 -0.218806
4 1 0.458969
5 1 -0.187529
6 1 -0.011341
7 1 -0.097870
8 1 -0.720028
9 1 -0.095145
10 1 0.135107
11 1 -0.350654
12 1 -0.130594
13 1 -0.275206
14 1 -0.033647
15 1 0.095658
16 1 -0.239343
17 1 -0.232782
18 1 -0.245846
19 1 -0.584896
20 1 0.359352
21 1 -0.125733
22 1 0.186272
23 1 0.073791
24 1 0.174823
25 1 -0.203356
26 1 0.186112
27 1 0.033534
28 1 0.416677
29 1 -0.017609
30 1 0.002161
31 1 0.197727
32 1 -0.162711
33 1 -0.506555
34 1 -0.200316
35 1 0.194242
36 1 0.088839
37 1 -0.027928
38 1 0.101253
39 1 -0.072150
40 1 0.333897
41 1 0.284762
42 1 0.302344
43 1 -0.052595
44 1 0.132689
45 1 -0.236992
46 1 -0.064884
47 1 -0.133811
48 1 -0.396082
49 1 0.096581
50 1 0.212508
51 1 -0.425601
52 1 0.033421
53 1 0.118184
54 1 0.387100
55 1 -0.322282
56 1 0.283961
57 1 -0.196739
58 1 -0.118451
59 1 0.270657
60 1 0.081613
61 1 0.111358
62 1 0.321386
63 1 0.214196
64 1 0.027084
65 1 -0.354606
66 1 -0.252708
67 1 0.077763
68 1 0.187694
69 1 0.391971
70 1 -0.091443
71 1 0.069539
72 1 0.264733
73 1 -0.044846
74 1 -0.023780
75 1 -0.585368
76 1 -0.025998
77 1 0.155291
78 1 0.184156
79 1 0.212676
80 1 0.008017
81 1 -0.147357
82 1 -0.496080
83 1 0.291957
84 1 0.534344
85 1 0.045978
86 1 0.301317
87 1 -0.167863
88 1 -0.108681
89 1 -0.496011
90 1 -0.190613
91 1 -0.317982
92 1 0.018523
93 1 0.094468
94 1 0.088389
95 1 0.468332
96 1 0.008429
97 1 0.077356
98 1 0.186703
99 1 0.043876
100 1 -0.146246
101 1 0.113498
102 1 0.077155
103 1 -0.062433
104 1 -0.027165
105 1 -0.146441
106 1 -0.474411
107 1 0.162739
108 1 -0.087004
109 1 -0.133444
110 1 -0.025304
111 1 -0.064904
112 1 -0.397789
113 1 -0.021023
114 1 -0.022577
115 1 0.056549
116 1 0.322549
117 1 0.097726
118 1 0.358359
119 1 0.872571
120 1 0.138429
121 1 -0.024225
122 1 0.092424
123 1 -0.124610
124 1 -0.025102
125 1 -0.397028
126 1 -0.360124
127 1 -0.203781

0 2 -0.472350
1 2 0.043537
2 2 -0.371114
3 2 -0.137120
4 2 0.281210
5 2 -0.147337
6 2 -0.022357
7 2 -0.035145
8 2 -0.578732
9 2 -0.066484
10 2 0.217927
11 2 -0.417749
12 2 -0.424199
13 2 -0.180330
