col row val
0 0 -0.125004
1 0 0.097341
2 0 0.064014
3 0 0.089992
4 0 -0.202999
5 0 0.014709
6 0 0.032819
7 0 0.007032
8 0 -0.202110
9 0 0.022350
10 0 -0.028498
11 0 -0.083537
12 0 -0.000406
13 0 -0.072336
14 0 0.001525
15 0 0.166097
16 0 0.011529
17 0 0.068990
18 0 0.186230
19 0 -0.007740
20 0 0.060860
21 0 0.168557
22 0 0.009457
23 0 -0.008100
24 0 0.015449
25 0 -0.020517
26 0 0.179415
27 0 -0.059518
28 0 -0.086693
29 0 -0.002615
30 0 -0.242618
31 0 -0.145854
32 0 -0.092197
33 0 -0.024720
34 0 -0.113497
35 0 -0.035943
36 0 -0.023901
37 0 0.036783
38 0 0.064660
39 0 0.059449
40 0 -0.249416
41 0 0.076287
42 0 0.013915
43 0 -0.051824
44 0 -0.019211
45 0 -0.130302
46 0 -0.115310
47 0 0.101318
48 0 0.149702
49 0 0.101471
50 0 0.060616
51 0 -0.052620
52 0 -0.030155
53 0 -0.228527
54 0 -0.106363
55 0 -0.072941
56 0 0.025400
57 0 -0.143429
58 0 -0.035199
59 0 -0.042844
60 0 -0.027615
61 0 -0.035415
62 0 -0.252250
63 0 -0.029824
64 0 0.059164
65 0 -0.029532
66 0 -0.035473
67 0 -0.075090
68 0 0.208047
69 0 -0.002427
70 0 0.021719
71 0 -0.176658
72 0 -0.096897
73 0 -0.092725
74 0 -0.066287
75 0 -0.028733
76 0 0.000149
77 0 0.119603
78 0 0.131170
79 0 -0.010221
80 0 -0.066787
81 0 -0.090836
82 0 -0.132413
83 0 0.036513
84 0 0.002044
85 0 0.010733
86 0 0.035187
87 0 -0.033936
88 0 0.086182
89 0 0.024670
90 0 0.093917
91 0 0.047443
92 0 0.038487
93 0 -0.008148
94 0 0.018152
95 0 0.161666
96 0 0.064207
97 0 0.080373
98 0 0.038627
99 0 0.124058
100 0 0.050715
101 0 0.006833
102 0 0.056279
103 0 -0.023752
104 0 0.094408
105 0 -0.011791
106 0 -0.031490
107 0 0.061512
108 0 -0.085933
109 0 -0.009420
110 0 0.047087
111 0 -0.123608
112 0 -0.027756
113 0 -0.060933
114 0 0.006789
115 0 0.013523
116 0 -0.023645
117 0 0.104058
118 0 -0.048029
119 0 -0.034602
120 0 0.042309
121 0 0.000539
122 0 0.045150
123 0 0.211263
124 0 0.049701
125 0 0.124701
126 0 -0.090718
127 0 -0.096105

0 1 -0.173927
1 1 0.075613
2 1 0.090055
3 1 0.047588
4 1 -0.244657
5 1 0.043367
6 1 0.056814
7 1 0.029417
8 1 -0.089076
9 1 0.000555
10 1 0.003791
11 1 -0.058807
12 1 -0.025166
13 1 -0.082333
14 1 -0.011368
15 1 0.184324
16 1 0.043186
17 1 0.005519
18 1 0.218660
19 1 0.038819
20 1 0.068086
21 1 0.158294
22 1 -0.016902
23 1 -0.054896
24 1 0.047171
25 1 -0.039820
26 1 0.143106
27 1 -0.085177
28 1 -0.117287
29 1 -0.012949
30 1 -0.243923
31 1 -0.140989
32 1 -0.161408
33 1 -0.016560
34 1 -0.049167
35 1 -0.091851
36 1 -0.054723
37 1 0.058740
38 1 0.062964
39 1 0.067396
40 1 -0.247313
41 1 0.101355
42 1 -0.017415
43 1 -0.091115
44 1 -0.056356
45 1 -0.150277
46 1 -0.068508
47 1 0.036985
48 1 0.086396
49 1 0.100835
50 1 0.124232
51 1 -0.047980
52 1 -0.023941
53 1 -0.244955
54 1 -0.070738
55 1 -0.072291
56 1 0.036316
57 1 -0.092374
58 1 -0.055505
59 1 -0.009021
60 1 0.032706
61 1 -0.101883
62 1 -0.262726
63 1 -0.008573
64 1 0.063899
65 1 -0.042324
66 1 -0.007493
67 1 -0.059914
68 1 0.252692
69 1 -0.024992
70 1 -0.016884
71 1 -0.259978
72 1 -0.114691
73 1 -0.091437
74 1 -0.058041
75 1 -0.023151
76 1 -0.054878
77 1 0.110873
78 1 0.107103
79 1 0.024421
80 1 -0.074963
81 1 -0.012138
82 1 -0.107935
83 1 0.021172
84 1 -0.003119
85 1 0.036939
86 1 0.010735
87 1 -0.032470
88 1 0.087464
89 1 0.017030
90 1 0.066039
91 1 0.032528
92 1 0.029459
93 1 0.039713
94 1 0.041851
95 1 0.093833
96 1 0.046113
97 1 0.107762
98 1 0.073926
99 1 0.143681
100 1 0.044184
101 1 -0.009624
102 1 0.109721
103 1 0.011306
104 1 0.182252
105 1 0.017441
106 1 -0.016415
107 1 0.078574
108 1 -0.094541
109 1 0.016736
110 1 0.038045
111 1 -0.150025
112 1 -0.050637
113 1 -0.064785
114 1 0.029495
115 1 0.000525
116 1 0.050015
117 1 0.106793
118 1 -0.034508
119 1 -0.057457
120 1 0.127849
121 1 0.025418
122 1 0.082309
123 1 0.176979
124 1 0.010159
125 1 0.120433
126 1 -0.086838
127 1 -0.082712
